date,closed,report
9/9/2020,,H.014310 – I-10 WB Rail Replacement over Maximillian Street -- East Baton Rouge Parish
9/9/2020,,I-10 WB at the Off Ramp to LA 975 (Exit 127 to Whiskey Bay) Lane Closure:
9/9/2020,,"US 61, from Williams Blvd. to Alliance Ave, Jefferson Parish, S.P. No H.013209"
9/9/2020,,Terrebonne Parish- La 182 @ Hollywood Road
9/9/2020,,"US 90B, Crescent City Connection, Orleans Parish"
9/9/2020,,"I-10, Jefferson and St. Charles Parish, S.P. No. H.011670"
9/9/2020,,RAMP CLOSURES: I-20 WB & EB in Lincoln & Ouachita Parishes
9/9/2020,,LA 16 - Partial Road Closure -  Project #: H.013724 - Livingston Parish
9/9/2020,,I-55 Frontage Road - Full Road Closure -  Project #: H.012874 - Tangipahoa Parish
9/9/2020,,ROAD CLOSURE UPDATES: Central LA Region (Alexandria District)
9/9/2020,,"US 61: Bayou Manchac & Bayou Francois Bridges, Lane Closure, East Baton Rouge & Ascension Parishes *Update*"
9/9/2020,,"LA 541 (River Road), Jefferson Parish"
9/9/2020,,"US 90, Jefferson and St. Charles Parish, H.012051.6"
9/9/2020,,"I-10, Jefferson and St. Charles Parish, S.P. No. H.013839"
9/9/2020,,"US 61 from RR Overpass to LA 50, in Jefferson & St. Charles Parish, S.P. No H.000320"
9/9/2020,,"LA 47, MRGO Bridge, Orleans Parish"
9/9/2020,,I-10 WB RAMP CLOSURE (EAST BATON ROUGE PARISH) HIGHLAND RD. WB OFF RAMP
9/9/2020,,I-10 WB RAMP CLOSURE (EAST BATON ROUGE PARISH) HIGHLAND RD. WB ON RAMP
9/9/2020,,I-10 WB (EAST BATON ROUGE PARISH) MM 168 TO MM 165 LANE CLOSURE
9/8/2020,,I-12 - Partial Road Closure -  Project #: H.011278 - Livingston Parish
9/8/2020,,I-12 - Partial Road Closure -  Project #: H.011278 - Livingston Parish
9/8/2020,,I-12 - Partial Road Closure -  Project #: H.011152 I-12: US 190 - LA 59 - St. Tammany Parish
9/8/2020,,"LANE CLOSURE: I-20 westbound near Industrial Drive, Bossier Parish"
9/8/2020,,"US 167 (Johnston Street) NB & SB from West/East Broussard Road to Duhon Rd./South City Pkwy., Lafayette Parish, Alternating Lane Closures"
9/8/2020,,"RESCHEDULED:  I-10 EB from MM 114.5 to MM 117 (Atchafalaya Basin Bridge), St. Martin Parish, Intermittent Short Term Lane Closures"
9/8/2020,,"I-10 WB from MM 104 (Vermilion River) to MM 103 (I-49), Lafayette Parish, Lane Closure"
9/8/2020,,"I-10 WB Exit Ramp at Exit 104 - Louisiana Avenue, Lafayette Parish, Ramp Closure"
9/8/2020,,H.013331 -- LA 427: Perkins Rd. -- East Baton Rouge Parish
9/8/2020,,H.013483 -- LA 327: River Road -- East Baton Rouge Parish
9/8/2020,,"LA 134 in Ouachita Parish, Traffic Shift; SP H.008221"
9/5/2020,,"**Update: Reopened**  US 171; Anacoco, Vernon Parish"
9/4/2020,,NOW OPEN  Road Closures Due to High Water – Vermilion Parish
9/4/2020,,LA 16 - Partial Road Closure -  Project #: H.013230 - Livingston Parish
9/4/2020,,LA 23 SB (Belle Chasse Tunnel) Closure
9/4/2020,,"UPDATE: CANCELED: I-10, Jefferson and St. Charles Parish, S.P. No. H.011670"
9/4/2020,,"LA 611-1 (River Road) from Arnoult Road to Highway Drive, Jefferson Parish, S.P. No H.012161"
9/4/2020,,"I-310, St. Charles Parish, S.P. H.012617"
9/4/2020,,"LA 47, Orleans & St. Bernard Parish, H.013560.6"
9/4/2020,,***Road Closure*** Iberville Parish  LA 75 at Bayou Sorrel Bridge
9/4/2020,,"I-10 EB on the Atchafalaya Basin Bridge from MM 122.5 to 127.5, St. Martin Parish, Lane Closure for Routine Bridge Inspections"
9/4/2020,,UPDATE - LA 40- Partial Road Closure -  Project #: H.002446 - St. Tammany Parish
9/4/2020,,UPDATE - LANE/ROAD CLOSURE: LA 512 near Pelican in DeSoto Parish
9/4/2020,,LA 59 - Partial Road Closure -  Project #: H.011030 - St. Tammany Parish
9/4/2020,,REOPENED - I-55 Service Road - St. John the Baptist Parish
9/4/2020,,"LA 18 (River Road), St. Charles Parish, S.P. H.012600"
9/4/2020,,"FW: LA 47,  MRGO Bridge, (Green Bridge), Orleans Parish"
9/4/2020,,"I-10: New Orleans East Drain Canal Bridge Replace, Orleans Parish - H.010018.6"
9/4/2020,,"I-55 & I-12 DISTRICT WIDE OGFC SPOT REPAIR – ST. TAMMANY PARISH, LANE & RAMP CLOSURES AT I-12/ I-59/ I-10 INTERCHANGE - STATE PROJECT H.013903"
9/3/2020,,LA 1028 - Full Road Closure - Livingston Parish
9/3/2020,,LA 1028 - Full Road Closure - Livingston Parish
9/3/2020,,LA 41 - Partial Road Closure -  Project #: H.013728 - St. Tammany Parish
9/3/2020,,UPDATE: ROAD IS NOW OPEN- ST. TAMMANY PARISH / LA 1077 /  ROAD CLOSURE DUE TO HIGH WATER
9/3/2020,,"LA 39: Judge Seeber Bridge, Orleans Parish, (H.012956.6)"
9/3/2020,,LA 1028 - Full Road Closure - Livingston Parish
9/3/2020,,"Crescent City Connection Westbound, Orleans Parish"
9/3/2020,,"US 165 in Ouachita Parish, Lane Closures; SP H.008221"
9/3/2020,,"UPDATE 9/4 - NOTICE: - Traffic Pattern Shift - I-20/Well Road Overpass, Ouachita Parish"
9/3/2020,,I-10 @ Mississippi River Bridge West Bound - Lane CLOSURE
9/2/2020,,"UPDATE: Grand Lake Bridge open to motorists, Black Bayou Bridge OPEN - Cameron/Calcasieu Parishes"
9/2/2020,,"ROAD CLOSURE: Swan Lake Road southbound at I-220, Bossier Parish"
9/2/2020,,"US 90B, Crescent City Connection, Orleans Parish"
9/2/2020,,"I-10 Westbound from MM 108 to MM 107, St. Martin Parish, Lane Closure"
9/1/2020,,"LA 326 at its intersection with Sanaren Street, St. Mary Parish - Road Closure"
9/1/2020,,"US 90B, Crescent City Connection, Orleans Parish"
9/1/2020,,I-10 EB  (EAST BATON ROUGE) HIGHLAND ROAD EB ON RAMP CLOSURE - CANCELED
9/1/2020,,"I-10, Jefferson and St. Charles Parish, S.P. No. H.011670"
9/1/2020,,"ROAD CLOSURE: Swan Lake Road northbound at I-220, Bossier Parish"
9/1/2020,,"UPDATE: LA 316 Bayou Blue Pontoon Bridge, Lafourche Parish"
9/1/2020,,"RESCHEDULED: US 167 (Johnston St.) NB & SB from LA 3073 (Ambassador Caffery) to US 90 (Evangeline Thrway), Lafayette Parish, Alternating Lane Closures"
9/1/2020,,LA 42 (EAST BATON ROUGE PARISH) HIGHLAND ROAD - ROAD CLOSURE
9/1/2020,,LA 42 (EAST BATON ROUGE PARISH) HIGHLAND ROAD
9/1/2020,,I-10 EB (EAST BATON ROUGE PARISH) MM 167 TO MM169
9/1/2020,,I-10 WB (EAST BATON ROUGE PARISH) MM 168 TO MM 166
9/1/2020,,"UPDATE - LANE/SHOULDER CLOSURES: I-20/I-220 Interchange, Bossier Parish"
8/31/2020,1,UPDATE: LA 384 (University Drive) from McNeese Street to Lake Street
8/31/2020,1,Update on LA 1143 from LA 27 - Cameron Parish
8/31/2020,1,UPDATE: LA 82 from state line to the ferry crossing - Cameron Parish
8/31/2020,1,Update: LA 379 (Houston River Road) from Sulphur Avenue to LA 27 - Calcasieu Parish
8/31/2020,0,Road Open: LA 378 Spur (Sam Houston Jones Pkwy) from LA 378 to Sutherland Road
8/31/2020,0,UPDATE - road open: LA 384 from LA 385 to LA 27 – Cameron Parish
8/31/2020,1,UPDATE: LA 82 from Oak Grove to Vermilion P/L – Cameron Parish
8/31/2020,-1,"US 90B, Crescent City Connection, Orleans Parish"
8/31/2020,0,**BRIDGE RE-OPENED** Jackson Street Bridge; US 165-B; Rapides Parish; Bridge Repair
8/31/2020,1,"I-55 & I-12 DISTRICT WIDE OGFC SPOT REPAIR – ST. TAMMANY PARISH, LANE & RAMP CLOSURES AT I-12/ I-59/ I-10 INTERCHANGE - STATE PROJECT H.013903"
8/31/2020,0,**ROAD RE-OPENED** LA 1187; Avoyelles Parish
8/31/2020,1,"UPDATE: ROAD CLOSURE 9/1 and 9/2 Nightly- I-20/Well Road Overpass, Ouachita Parish"
8/31/2020,-1,"LA 47, Orleans & St. Bernard Parish, H.013560.6"
8/31/2020,1,UPDATE: LA 306 - From the Fricky Ln. Intersection - St. Charles Parish
8/31/2020,1,UPDATE: LA 45 – South of LA 302 intersection - Jefferson Parish
8/31/2020,1,"I-10 EB between MM 114.5 & 117 (Atchafalaya Basin Bridge), St. Martin Parish, Alternating Lane Closures"
8/31/2020,1,"LA 93 (Westgate Rd.) SB from US 90 (Cameron St.) to Dulles Drive, Lafayette Parish, Traffic Shift & Alternating Lane Closures"
8/31/2020,1,ROAD CLOSURE UPDATE FOR MONROE REGION
8/31/2020,1,CLOSED - Update on Grand Lake Bridge in Cameron Parish
8/31/2020,1,"UPDATE I-10, Jefferson and St. Charles Parish, S.P. No. H.013839"
8/30/2020,0,Road open: LA 384 from 1138-2 (Nelson Road) to LA 1144 (Big Pastor Road)
8/30/2020,1,UPDATE Road Closures Due to High Water – St. Mary Parish
8/30/2020,1,UPDATE: LA 110 from Singer to Longville – Beauregard Parish
8/30/2020,1,UPDATE: LA 27 from I-10 to LA 108 - Calcasieu Parish
8/30/2020,0,"**ROAD RE-OPENED**  I-49: Alexandria, Rapides Parish, Louisiana; Power Lines"
8/30/2020,1,UPDATE: LA 109 from LA 27 to LA 12 - Beauregard/Calcasieu Parishes
8/30/2020,1,UPDATE Road Closures Due to High Water – Evangeline Parish
8/30/2020,1,Update on US 171 from Calcasieu Parish line to US 90 - Calcasieu Parish
8/30/2020,1,UPDATE: LA 101 from US 165 to I-10- Jefferson Davis Parish
8/30/2020,1,Update: LA 12 from LA 27 to state line - Calcasieu Parish/Beauregard Parish
8/30/2020,1,UPDATE: LA 108 from I-10 to LA 1256 - Calcasieu Parish
8/30/2020,1,"UPDATE: LA 383 from US 165 to US 90 – Allen,Jefferson Davis, and Calcasieu Parishes"
8/30/2020,1,UPDATE: LA 99 from LA 102 to US 90 - Jefferson Davis Parish
8/30/2020,0,UPDATE - Road open: LA 112 from US 171 to LA 399 - Beauregard Parish
8/30/2020,1,UPDATE: US 90 from LA 99 (Welsh) to LA 101 (Lacassine) – Jefferson Davis Parish
8/30/2020,1,UPDATE: US 90 from LA 101 to US 165 - Calcasieu Parish
8/29/2020,1,"LA 16, Livingston Parish, Road Closure, S.P. H.013724"
8/29/2020,0,CANCELED - I-10 WB (EAST BATON ROUGE PARISH) ALTERNATING LANE CLOSURE - MM 168 TO 165
8/29/2020,0,CANCELED - I-10 WB (EAST BATON ROUGE PARISH) RAMP CLOSURE - HIGHLAND WB OFF RAMP
8/29/2020,0,CANCELED - I-10 WB (EAST BATON ROUGE PARISH) RAMP CLOSURE - HIGHLAND ROAD WB ON RAMP
8/29/2020,0,Road open: LA 1151 near Oberlin
8/29/2020,0,Road open: LA 113 from US 190 to LA 26 – Beauregard/Allen Parishes
8/29/2020,1,ROAD CLOSURE UPDATES FOR CENTRAL LA REGION (ALEXANDRIA DISTRICT)
8/29/2020,0,UPDATE: Reopened - LA 1256/LA 27 from I-10 to LA 390 – Calcasieu Parish/Cameron Parish
8/29/2020,0,"UPDATE - REOPENED: Tremont Eastbound & Westbound Rest Areas, Lincoln Parish"
8/29/2020,0,UPDATE - Reopened: LA 12 from LA 27 to US 171 – Calcasieu Parish/Beauregard Parish
8/29/2020,0,Road open: US 190 from US 171 (Ragley) to US 165 (Kinder) – Beauregard/Allen Parishes
8/29/2020,0,Road open: LA 101 from US 165 to LA 383 – Jefferson Parish
8/28/2020,1,UPDATE: LA 14 from Broad Street to Tom Hebert Road – Calcasieu Parish
8/28/2020,1,Road closed: LA 113 from LA 26 to US 190 – Beauregard Parish/Jefferson Davis Parish
8/28/2020,0,Road open: LA 99 from US 90 to LA 14 - Jefferson Davis Parish
8/28/2020,0,Road open: LA 99 from US 190 to LA 102 – Jefferson Davis Parish
8/28/2020,0,Road open: LA 395 from LA 102 to US 90 – Jefferson Davis Parish
8/28/2020,0,Road open: LA 26 from US 171 to US 165 – Beauregard Parish/Allen Parish
8/28/2020,1,UPDATE: LA 110 from US 190 to LA 27 - Beauregard Parish
8/28/2020,1,UPDATE:  LA 301 – Jefferson Parish
8/28/2020,1,UPDATE: WATER ON ROAD: LA 560-4 - Jefferson Parish
8/28/2020,0,Road open: US 190 from state line to LA 26
8/28/2020,1,UPDATE: WATER ON ROAD: LA 3257 – South of the Pailet Canal - Jefferson Parish
8/28/2020,-1,"UPDATE-WATER HAS RECEDED - I-55 Northbound and Southbound Ramps at Manchac, Tangipahoa Parish"
8/28/2020,0,Road Open: LA 112 from LA 399 to LA 10 – Allen Parish/Beauregard Parish
8/28/2020,0,Road Open: LA 27 from DeRidder to I-10 - Beauregard Parish/Calcasieu Parish
8/28/2020,1,ST. TAMMANY PARISH - I-10: LANE CLOSURES (SLIDELL)
8/28/2020,1,ST. TAMMANY PARISH – I-10: SLIDELL RAMP CLOSURES
8/28/2020,-1,ST. TAMMANY PARISH – I-10: MEDIAN PROTECTION-OAK HARBOR LIGHT/RAMP
8/28/2020,-1, I-55: LA22 INTERSTATE LIGHTING – TANGIPAHOA PARISH - STATE PROJECT H.012874
8/28/2020,1,"I-55 & I-12 DISTRICT WIDE OGFC SPOT REPAIR – ST. TAMMANY PARISH, RAMP CLOSURES AT I-12/ I-59/ I-10 INTERCHANGE - STATE PROJECT H.013903"
8/28/2020,-1,H.012185 -- LA 3034: Sullivan Rd. -- East Baton Rouge Parish
8/28/2020,1,"UPDATE: LA 665 flood gate closure, Terrebonne Parish"
8/28/2020,1,I-12 - Partial Road Closure -  Project #: H.011278 - Livingston Parish
8/28/2020,1,***UPDATE***WATER ON ROAD: LA 55 south of floodgate in Terrebonne Parish
8/28/2020,1,LA 16 - Partial Road Closure -  Project #: H.013230 - Livingston Parish
8/28/2020,0,NOW OPEN Road Closures Due to High Water – Iberia Parish
8/28/2020,1,LA 16 - Partial Road Closure -  Project #: H.013230 - Livingston Parish
8/28/2020,-1,"UPDATED - WATER HAS RECEDED -I-55 Northbound and Southbound Ramps at Ruddock, St. John the Baptist Parish"
8/28/2020,-1,x
8/28/2020,-1,"I-10, Orleans Parish, H.013587.6"
8/28/2020,1,LA 16 - Partial Road Closure -  Project #: H.013230 - Livingston Parish
8/28/2020,0,NOW OPEN Road Closures Due to High Water – Acadia Parish
8/28/2020,-1,DOTD announces upcoming I-110 lane closure in East Baton Rouge Parish
8/28/2020,1,Down power lines on I-210 Prien Lake Bridge - Calcasieu Parish
8/28/2020,0,"CANCELED: I-10, Orleans Parish, H.013587.6"
8/28/2020,-1,"US 90, Jefferson and St. Charles Parish, H.012051.6"
8/28/2020,-1,"UPDATE: FLOOD WATERS HAVE RECEDED: LA 46 at its junction with LA 300 to the Ysclokey Bridge, St. Bernard Parish"
8/28/2020,-1,"UPDATE: WATER HAS RECEDED: LA 300, at its intersection of LA 46, St. Bernard Parish"
8/28/2020,-1,"UPDATE: WATER HAS RECEDED: LA 624, from Yscloskey Bridge to Hopedale, St. Bernard Parish"
8/28/2020,0,Road Open: US 171 from Calcasieu Parish Line to DeRidder
8/28/2020,0,Road Open: LA 26 from US 90 to US 165 - Allen Parish/Jefferson Davis Parish
8/28/2020,0,Road Open: LA 14 from LA 101 to LA 380 - Jefferson Davis Parish
8/28/2020,0,Road Open: US 165 from LA 10 (Oakdale) to Jeff Davis Parish line - Allen Parish
8/28/2020,-1,"UPDATE: FLOOD WATERS HAVE RECEDED: US 90, from the floodgate to Chef Menteur Bridge, Orleans Parish"
8/28/2020,-1,"UPDATE: FLOOD WATERS HAVE RECEDED: US 11, from the flood gate to I-10, Orleans Parish"
8/28/2020,-1,"LA 18 (River Road), St. Charles Parish, S.P. H.012600"
8/28/2020,0,"CANCELED: I-10, from Clearview Parkway to Causeway Boulevard, Jefferson Parish"
8/28/2020,-1,"LA 611-1 (River Road) from Arnoult Road to Highway Drive, Jefferson Parish, S.P. No H.012161"
8/28/2020,0,UPDATE:  ROAD RE-OPENED - LA 434 - BAYOU LIBERTY (EAST END) - ST. TAMMANY PARISH
8/28/2020,0,RE-OPENED:  I-55 WELCOME CENTER - TANGIPAHOA PARISH
8/27/2020,1,UPDATE Road Closures Due to High Water – Lafayette Parish
8/27/2020,-1,Road conditions update following Hurricane Laura: Central LA Region
8/27/2020,1,**LIVE WIRE DOWN** LA 121 at the junction of LA 461; and at LA 112; Vernon Parish
8/27/2020,1,"***UPDATE*** LA 1, Theriot Lock closure, Lafourche Parish"
8/27/2020,0,"UPDATED: IS NOW OPEN : LA 56 flood gate closure, Terrebonne Parish"
8/27/2020,0,NOW OPEN - Road Status – St. Martin Parish
8/27/2020,-1,"I-10, Jefferson Parish"
8/27/2020,1,***BRIDGE CLOSURE*** LA 75 Bayou Sorrell Bridge
8/27/2020,1,Emergency Road Closure;  LA 112: From Lecompte to I-49;  Rapides Parish;  Downed Trees
8/27/2020,-1,"I-10, St. Charles Parish, H.014301"
8/27/2020,1,Road Closures Due to High Water – Lafayette Parish
8/27/2020,1,Road Closures Due to High Water – Vermilion Parish
8/27/2020,1,Road Closures Due to High Water – St. Martin Parish
8/27/2020,-1,"LA 3152 Clearview Pkwy W. Metairie to Argonne St., Jefferson Parish, H.012571"
8/27/2020,1,"UPDATE: LA 3152 Clearview Pkwy W. Metairie to Argonne St., Jefferson Parish, H.012571"
8/27/2020,-1,"HIGH WATER: I-20 eastbound shoulder at Exit 5 near Greenwood, Caddo Parish"
8/27/2020,-1,"I-310, St. Charles Parish, S.P. H.012617"
8/27/2020,0,***UPDATE*** ROAD OPEN: Temporary Road Closure - Hwy 19 North of Norwood - East Feliciana Parish
8/27/2020,0,UPDATE: ROAD IS OPEN:  LA 23 Venice Floodgate - Plaquemines Parish
8/27/2020,1,***TEMPORARY ROAD CLOSURE*** IBERVILLE PARISH
8/27/2020,-1,I-10 EB at mile marker 126.4 - St. Martin Parish
8/27/2020,-1,"***UPDATE: POSTPONED UNTIL FURTHER NOTICE*** - LA 440, St. Helena Parish, Road Closure"
8/27/2020,0,**UPDATE: OPEN** I-10 at Mile Marker 146 1/2 WB - West Baton Rouge Parish
8/26/2020,1,"Grand Lake Bridge closed to motorists, Black Bayou Bridge open - Calcasieu/Cameron Parish"
8/26/2020,1,***UPDATE*** Judge Perez Bridge (LA 23) closed to marine traffic
8/26/2020,0,**UPDATE: OPEN**  Temporary Closure - Burbank Drive between Ben Hur Road and Lee Drive - East Baton Rouge Parish
8/25/2020,0,***UPDATE: OPEN*** LA 47 floodgate closure in Orleans Parish
8/25/2020,-1,"I-10, Orleans Parish, SP# H.010018.6"
8/25/2020,-1,"US 90B, Crescent City Connection, Orleans Parish"
8/25/2020,0,"*** UPDATE: OPEN *** LA 300 floodgate closure, St. Bernard Parish"
8/25/2020,0,"***UPDATE: OPEN*** LA 39 flood gate closure, Plaquemines Parish"
8/25/2020,-1,"Humble Canal Bridge on LA 3147 in Freshwater City, Vermilion Parish"
8/25/2020,1,***UPDATE***US 90 Business (Broad Street) Westbound Right Lane Closure between S. Franklin St. and Enterprise Blvd. - Calcasieu Parish
8/25/2020,0,***UPDATE rescheduled***DOTD announces upcoming US 190 Bridge lane closures in East Baton Rouge Parish
8/24/2020,0,***UPDATE Rescheduled*****DOTD announces upcoming US 61 lane closure in East Baton Rouge Parish
8/24/2020,1,LINCOLN PARISH LANE CLOSURES: I-20 EB at LA 507 Overpass (EXIT 77)
8/24/2020,1,LA 23 floodgate closure in Plaquemines Parish
8/24/2020,0,***OPEN***U.S. 11 floodgate closure
8/24/2020,0,***OPEN*** US 90 floodgate closure
8/24/2020,0,"CANCELED: I-10, Orleans Parish, SP# H.010018.6"
8/24/2020,0,"CANCELED: LA 611-1 (River Road) from Arnoult Road to Highway Drive, Jefferson Parish, S.P. No H.012161"
8/24/2020,0,"CANCELED: I-10, Orleans Parish, H.013587.6"
8/24/2020,0,"CANCELED: I-10 Williams Blvd. to I-10/I-610 Split, Jefferson Parish, H.009054"
8/24/2020,0,"CANCELED: UPDATE -  I-10, Orleans Parish, H.013587.6"
8/24/2020,0,"CANCELED: LA 3152 Clearview Pkwy W. Metairie to Argonne St., Jefferson Parish, H.012571"
8/24/2020,0,"CANCELED: UPDATE: I-10, Orleans Parish, H.013587.6"
8/24/2020,0,"CANCELED: US 90, Crescent City Connection, Orleans Parish"
8/24/2020,0,UPDATE: CANCELLED – Road closure on LA 109 AT MP 0.032 (N of US 90 & LA 109) – Calcasieu Parish
8/24/2020,0,UPDATE: CANCELLED – Lane closure on LA 109 – Calcasieu Parish
8/24/2020,0,CANCELED - US 190- Partial Road Closure -  Project #: H.011152 - St. Tammany Parish
8/24/2020,1,"BRIDGE CLOSURE: I-20 westbound on-ramp from Murphy St., Caddo Parish"
8/23/2020,1,UPDATE: Nighttime lane closure on I-10 WB from I-210 to LA 108 – Calcasieu Parish
8/23/2020,0,***UPDATE: CANCELED***LA 23 SB (Belle Chasse Tunnel) Closure
8/22/2020,0,UPDATE – REOPENED: Spring Street overpass (LA 1 northbound) in downtown Shreveport
8/21/2020,1,LA 27 (Main St.) Northbound and Southbound Intermittent Lane Closures:  Kelso Bayou Bridge (MP 67.6) to south of Park Rd (MP 71.0) – Cameron Parish
8/21/2020,1,"LA 671 (Canal Street) at Railroad Crossing, Iberia Parish, Road Closure"
8/21/2020,1,"US 90B Harvey Tunnel, Westbound Total Closure, Jefferson Parish"
8/21/2020,0,"UPDATE – REOPENED: I-20 westbound on-ramp from I-220 eastbound, Bossier Parish"
8/21/2020,1,Nighttime lane closure: I-10 EB between LA 108 and I-210 – Calcasieu Parish
8/21/2020,0,"CANCELED: UPDATE US 90, Chef Pass Bridge (Total Closure), Orleans Parish"
8/21/2020,1,LA 59 - Partial Road Closure -  Project #: H.011030 - St. Tammany Parish
8/20/2020,0,"UPDATE - REOPENED: I-20 eastbound at Mississippi River (Vicksburg), Madison Parish"
8/20/2020,1,LA 16 - Partial Road Closure -  Project #: H.013230 - Livingston Parish
8/20/2020,1,***UPDATE Ramp Closure added***DOTD announces upcoming I-110 lane closure in East Baton Rouge Parish
8/20/2020,0,UPDATE:  Intersection Open -SPN H.002622 - Road Closure - 40 Oaks Farm Rd at LA 616 (Ark Road) - Ouachita Parish
8/20/2020,0,**BRIDGE RE-OPENED** LA 501 over Kyiaies Creek; Winn Parish
8/20/2020,1,I-10EB LANE CLOSURE (EAST BATON ROUGE PARISH) MM 167 TO MM 170
8/20/2020,1,I-10EB RAMP CLOSURE (EAST BATON ROUGE PARISH) LA 73 EB OFF RAMP
8/20/2020,1,"UPDATE: LA 3152 Clearview Pkwy W. Metairie to Argonne St., Jefferson Parish, H.012571"
8/20/2020,1,"EXTENDED! LA 92 (East Whitney Street/Leger Road/Domingue Road) from LA 13 to 0.108 mile east of Vermilion PL, Acadia Parish, Alternating Lane Closure"
8/20/2020,-1,"LA 18 (River Road), St. Charles Parish, S.P. H.012600"
8/20/2020,-1,"I-310, St. Charles Parish, S.P. H.012617"
8/20/2020,-1,"US 90, Chef Pass Bridge, Orleans Parish"
8/20/2020,1,LA 27 KELSO BAYOU BRIDGE AT MP 67.4 ALTERNATING LANE CLOSURE – CAMERON PARISH
8/19/2020,1,"I-10 EB between MM 114.5 & 117 (Atchafalaya Basin Bridge), St. Martin Parish, Alternating Lane Closures"
8/19/2020,1,"I-10 EB On Ramp at Exit 104 - Louisiana Avenue, Lafayette Parish, Intermittent Ramp Closure"
8/19/2020,1,"I-10 EB at I-49, Lafayette Parish, Intermittent Ramp Closure"
8/19/2020,1,"I-10 EB Off Ramp at Exit 104 - Louisiana Avenue, Lafayette Parish, Intermittent Ramp Closure"
8/19/2020,1,"I-10 EB from MM 103 (I-49) to MM 104 (Vermilion River), Lafayette Parish, Lane Closure"
8/19/2020,0,ROAD IS NOW OPEN-ST. TAMMANY PARISH: Capital Culvert La 59 (Range Line Road) closure
8/19/2020,-1,"LA 47, St. Bernard Parish, H.013560.6"
8/19/2020,-1,Interstate 10 in Jefferson Parish
8/19/2020,1,LA 26 (S. Lake Arthur Ave.) Southbound Intermittent Lane Closure: MP 67.0 (just south of Pearl St) in Jennings – Jefferson Davis Parish
8/19/2020,1,**LANE CLOSURE** US 84; over Dugdemona River; Winn Parish
8/19/2020,1,LA 383 Northbound Intermittent Lane Closure: Railroad Avenue (MP 0.4) to just South of LA 3059 (MP 2.7) in Iowa – Calcasieu Parish and Jefferson Davis
8/19/2020,1,Intermittent lane closures on LA 14 northbound between E. Prien Lake Road and 12th Street – Calcasieu Parish
8/19/2020,1,I-10 WESTBOUND RIGHT LANE CLOSURE - CALCASIEU RIVER BRIDGE AT MP 28.7 - CALCASIEU PARISH
8/19/2020,-1,"US 90B, Crescent City Connection, Orleans Parish"
