Index,User,Text,Date,Favorites,Retweets,Mentions,HashTags,streets,highways,exits,markers,road_closed,predictions,query,query_string,lat,lng,query_score,field_score
491,TotalTrafficAUS,"Accident. only the left lane getting by in #SanMarcos on I-35 NB at Hwy 123/Exit 204, stop and go traffic back to Mccarty Ln/Exit 201 #ATXtraffic http://bit.ly/10BGKax",2020-08-28 23:05:43+00:00,0,0,,#SanMarcos #ATXtraffic,['left lane'],"['i-35', 'hwy 123']","['exit 204', 'exit 201']",[],1.0,1.0,"'left lane','i-35', 'hwy 123','exit 204', 'exit 201'",left+lane%2C+i-35%2C++hwy+123%2C+exit+204%2C++exit+201,0.0,0.0,0.0,0.0
114,WAFBTraffic,"Heads up drivers: I-10 heading towards Lafayette is still closed. The closure could last throughout the day, possibly into tomorrow. Plan an alternate route here: http://WAFB.com/traffic?utm_medium=social&amp;utm_source=twitter_WAFBTraffic",2020-09-01 13:00:01+00:00,0,0,,,[],['i-10'],[],[],1.0,1.0,'i-10',i-10,30.035,-89.98148,0.99,"{'state': 0.89, 'streets': [1.0]}"
757,TotalTrafficAUS,"Accident. right shoulder blocked in #Austin on I-35 NB at Woodland Ave, slow traffic back to Oltorf St/Exit 232 #ATXtraffic http://bit.ly/10BGKax",2020-08-25 20:15:43+00:00,0,1,,#Austin #ATXtraffic,"['woodland ave', 'oltorf st']",['i-35'],['exit 232'],[],1.0,1.0,"'woodland ave', 'oltorf st','i-35','exit 232'",woodland+ave%2C++oltorf+st%2C+i-35%2C+exit+232,0.0,0.0,0.0,0.0
488,TotalTrafficHOU,"Accident cleared in #Downtown on US-69 SW Fwy Inbound at US-59 Hov Lane/Main St, stop and go traffic back to Shepherd / Greenbriar #traffic http://bit.ly/17hsIjn",2020-08-28 23:25:43+00:00,0,0,,#Downtown #traffic,"['hov lane', 'main st']",['us-69'],[],[],,1.0,"'hov lane', 'main st','us-69'",hov+lane%2C++main+st%2C+us-69,29.99594,-91.79994,0.68,"{'country': 1.0, 'state': 0.89, 'streets': [0.95]}"
195,iembot_shv,"At 7:30 AM CDT, 7 NNW Hemphill [Sabine Co, TX] BROADCAST MEDIA reports HURRICANE. HIGHWAY 21 NEAR HIGHWAY 103 WAS CLOSED DUE TO MULTIPLE FALLEN TREES. OTHER TREES WERE DOWNED AT MADDUX CREEK, FM 276, AND FM 2024. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271230/202008271230",2020-08-27 21:51:06+00:00,0,1,,,[],"['highway 21', 'highway 103']",[],[],1.0,1.0,"'highway 21', 'highway 103'",highway+21%2C++highway+103,30.41567,-90.16172,0.74,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
439,TotalTrafficHOU,"Accident, right lane blocked in #WestSide on W SAM HOUSTON TOLLWAY NB before Briar Forest #traffic http://bit.ly/17hsIjn",2020-08-29 15:00:43+00:00,0,0,,#WestSide #traffic,['right lane'],[],[],[],1.0,1.0,'right lane',right+lane,32.01282,-93.72278,0.99,"{'state': 0.89, 'streets': [0.9]}"
355,TotalTrafficHOU,"Stall reported clear in #Downtown on I-45 SB at Dallas St, stopped traffic back to Patton #traffic http://bit.ly/17hsIjn",2020-08-31 13:00:43+00:00,0,0,,#Downtown #traffic,['dallas st'],['i-45'],[],[],,1.0,"'dallas st','i-45'",dallas+st%2C+i-45,30.71155,-92.16579,0.77,"{'state': 0.89, 'streets': [0.9], 'houseNumber': 0.44}"
413,TotalTrafficHOU,Accident. left lane blocked in #SeSide on I-45 Gulf Fwy Inbound at Telephone Rd. #traffic http://bit.ly/17hsIjn,2020-08-30 00:00:44+00:00,0,0,,#SeSide #traffic,"['left lane', 'telephone rd']",['i-45'],[],[],1.0,1.0,"'left lane', 'telephone rd','i-45'",left+lane%2C++telephone+rd%2C+i-45,30.31156,-93.1949,0.67,"{'state': 0.89, 'streets': [0.95]}"
463,TotalTrafficHOU,"Accident, left lane blocked in #Downtown on I-45 Gulf Fwy Outbound between 69, stop and go traffic back to Allen Pky/Houston Ave/Exit 47 #traffic http://bit.ly/17hsIjn",2020-08-29 01:10:43+00:00,0,0,,#Downtown #traffic,['houston ave'],['i-45'],['exit 47'],[],1.0,1.0,"'houston ave','i-45','exit 47'",houston+ave%2C+i-45%2C+exit+47,29.57318,-90.74227,0.74,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
663,TotalTrafficHOU,Accident cleared in #FortBend on US-90-ALT Inbound before FM-1952 #traffic http://bit.ly/17hsIjn,2020-08-26 23:55:43+00:00,0,0,,#FortBend #traffic,[],['us-90-alt'],[],[],1.0,1.0,'us-90-alt',us-90-alt,30.03233,-89.9243,0.8,"{'state': 0.89, 'streets': [1.0]}"
452,TotalTrafficAUS,"Disabled vehicle, shoulder blocked in #Buda on I-35 Frontage NB at Farm-to-Market Rd 1327 #ATXtraffic http://bit.ly/10BGKax",2020-08-29 12:40:43+00:00,0,0,,#Buda #ATXtraffic,['market rd'],['i-35'],[],[],1.0,1.0,"'market rd','i-35'",market+rd%2C+i-35,30.8761,-92.70413,0.87,"{'state': 0.89, 'streets': [0.67], 'houseNumber': 0.34}"
466,TotalTrafficAUS,"Accident. only the left lane getting by in #SanMarcos on I-35 NB at Hwy 123/Exit 204, stop and go traffic back to Mccarty Ln/Exit 201 #ATXtraffic http://bit.ly/10BGKax",2020-08-29 00:55:44+00:00,0,0,,#SanMarcos #ATXtraffic,['left lane'],"['i-35', 'hwy 123']","['exit 204', 'exit 201']",[],1.0,1.0,"'left lane','i-35', 'hwy 123','exit 204', 'exit 201'",left+lane%2C+i-35%2C++hwy+123%2C+exit+204%2C++exit+201,0.0,0.0,0.0,0.0
654,TotalTrafficHOU,High water in various areas. use caution in #Galveston on FM-3005 Both EB/WB between CR-257 and TX-87/Avenue J/Broadway St #traffic http://bit.ly/17hsIjn,2020-08-27 03:45:43+00:00,1,1,,#Galveston #traffic,['broadway st'],[],[],[],,1.0,'broadway st',broadway+st,29.94633,-90.1197,0.99,"{'state': 0.89, 'streets': [1.0]}"
1008,CourtneyCW39,". @GalvCoTx Judge Mark Henry has lifted the mandatory evacuation order for the Bolivar Peninsula, HWY 87 is cleared &amp; the ferry is up &amp; running again. It’s now safe for Bolivar Peninsula residents to go home. @CW39Houston",2020-08-27 15:33:20+00:00,2,5,@GalvCoTx @CW39Houston,,[],['hwy 87'],[],[],1.0,1.0,'hwy 87',hwy+87,30.44335,-91.18664,0.61,{'state': 0.89}
406,TotalTrafficAUS,"Accident, right lane blocked in #Travis on I 35 SB at Wells Branch Pkwy/FM 1825 #ATXtraffic http://bit.ly/10BGKax",2020-08-30 11:55:42+00:00,0,0,,#Travis #ATXtraffic,"['right lane', 'branch pkwy']",[],[],[],1.0,1.0,"'right lane', 'branch pkwy'",right+lane%2C++branch+pkwy,30.3533,-92.26628,0.52,"{'state': 0.89, 'city': 1.0}"
621,GeorgetownTXFD,A transformer fire on Del Webb Blvd north of Trail of the Flowers is the cause of power outage in Sun City. The fire is out and traffic is moving on Del Webb. Use caution @georgetowntx utility workers are still in the area. @GeorgetownTXPD just cleared. Power is being restored. – at Legacy Hills Golf Course,2020-08-27 17:05:16+00:00,3,5,@georgetowntx @GeorgetownTXPD,,['webb blvd'],[],[],[],1.0,1.0,'webb blvd',webb+blvd,30.46528,-90.5455,0.75,"{'state': 0.89, 'streets': [0.9]}"
181,iembot_shv,"At 10:20 AM CDT, 7 WNW Robeline [Natchitoches Co, LA] TRAINED SPOTTER reports HURRICANE. TREES DOWN ON HIGHWAY 120. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271520/202008271520",2020-08-28 17:58:27+00:00,0,0,,,[],['highway 120'],[],[],1.0,1.0,'highway 120',highway+120,31.73746,-93.41653,0.99,"{'state': 0.89, 'streets': [1.0]}"
589,TotalTrafficAUS,"Disabled vehicle cleared in #Williamson on I 35 NB at Westinghouse Rd/Exit 257, slow traffic back to FM 1431/Chandler Rd/Exit 256 #ATXtraffic http://bit.ly/10BGKax",2020-08-27 22:15:43+00:00,0,1,,#Williamson #ATXtraffic,"['westinghouse rd', 'chandler rd']",[],"['exit 257', 'exit 256']",[],,1.0,"'westinghouse rd', 'chandler rd','exit 257', 'exit 256'",westinghouse+rd%2C++chandler+rd%2C+exit+257%2C++exit+256,0.0,0.0,0.0,0.0
758,TotalTrafficAUS,"Accident affecting exit ramp in #Austin on I-35 NB at Woodland Ave, slow traffic back to Oltorf St/Exit 232 #ATXtraffic http://bit.ly/10BGKax",2020-08-25 19:55:43+00:00,0,0,,#Austin #ATXtraffic,"['woodland ave', 'oltorf st']",['i-35'],['exit 232'],[],1.0,1.0,"'woodland ave', 'oltorf st','i-35','exit 232'",woodland+ave%2C++oltorf+st%2C+i-35%2C+exit+232,0.0,0.0,0.0,0.0
707,TotalTrafficAUS,"Accident, right lane blocked in #SanMarcos on I-35 NB at Mccarty Ln/Exit 201, stop and go traffic back to Ctr Point Rd/Exit 200 #ATXtraffic http://bit.ly/10BGKax",2020-08-26 18:20:43+00:00,0,0,,#SanMarcos #ATXtraffic,"['right lane', 'point rd']",['i-35'],"['exit 201', 'exit 200']",[],1.0,1.0,"'right lane', 'point rd','i-35','exit 201', 'exit 200'",right+lane%2C++point+rd%2C+i-35%2C+exit+201%2C++exit+200,31.2489,-92.20928,0.35,"{'state': 0.89, 'city': 0.59}"
952,AMPARADOXXX,Lmao I agree Nigga had a whole lane then stopped pumped faked then tried to drive like wtf,2020-08-26 11:41:18+00:00,0,0,,,['whole lane'],[],[],[],0.0,0.0,'whole lane',whole+lane,31.99378,-91.96454,0.94,"{'state': 0.89, 'streets': [0.61]}"
514,TotalTrafficHOU,"Accident. two left lanes blocked in #Katy on Hwy 99 / The Grand Pkwy SB before Cinco Ranch Blvd, stop and go traffic back to I-10 #traffic http://bit.ly/17hsIjn",2020-08-28 21:25:43+00:00,0,0,,#Katy #traffic,"['grand pkwy', 'ranch blvd']",['hwy 99'],[],[],1.0,1.0,"'grand pkwy', 'ranch blvd','hwy 99'",grand+pkwy%2C++ranch+blvd%2C+hwy+99,30.78841,-92.94852,0.39,"{'state': 0.89, 'city': 0.8}"
436,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #SouthSide on S. Lp 610 EB at Hwy 288 #traffic http://bit.ly/17hsIjn",2020-08-29 17:15:43+00:00,0,0,,#SouthSide #traffic,['right lane'],['hwy 288'],[],[],1.0,1.0,"'right lane','hwy 288'",right+lane%2C+hwy+288,30.00876,-90.11241,0.65,"{'state': 0.89, 'streets': [0.9], 'houseNumber': 1.0}"
152,TxDOTHouston,I-69 Eastex NB ramp to I-10 WB is closed due to heavy truck crash.,2020-08-31 22:30:53+00:00,1,5,,,[],"['i-69', 'i-10']",[],[],1.0,1.0,"'i-69', 'i-10'",i-69%2C++i-10,30.035,-89.98148,0.79,"{'state': 0.89, 'streets': [1.0]}"
253,Shreveport_Traf,All lanes are open on I-220 West at North Market Street. Congestion is minimal.,2020-08-31 23:54:26+00:00,0,0,,,['market street'],['i-220'],[],[],,1.0,"'market street','i-220'",market+street%2C+i-220,32.52183,-93.75502,0.96,"{'state': 0.89, 'streets': [0.92], 'houseNumber': 1.0}"
170,TotalTrafficBTR,Closed due to accident in #Lafayette on I 10 WB between Louisiana Ave/Exit 104 and I-49/US-167/Opelousas/Exit 103 A&amp;B #traffic http://bit.ly/12oyfoo,2020-08-31 13:15:44+00:00,0,0,,#Lafayette #traffic,['louisiana ave'],"['i-49', 'us-167']","['exit 104', 'exit 103']",[],1.0,1.0,"'louisiana ave','i-49', 'us-167','exit 104', 'exit 103'",louisiana+ave%2C+i-49%2C++us-167%2C+exit+104%2C++exit+103,0.0,0.0,0.0,0.0
917,BHGREGaryGreene,We are looking for a buyer on 20418 Peach Mountain Lane #Cypress #TX #realestate https://tour.corelistingmachine.com/home/GUVFVH,2020-08-28 14:46:47+00:00,0,0,,#Cypress #TX #realestate,['mountain lane'],[],[],[],0.0,0.0,'mountain lane',mountain+lane,31.85084,-91.8073,0.99,"{'state': 0.89, 'streets': [0.6]}"
711,TotalTrafficHOU,"Disabled vehicle, center lane blocked in #NorthSide on I-45 N Fwy NB at The 610 N Lp, stop and go traffic back to Cavalcade #traffic http://bit.ly/17hsIjn",2020-08-26 17:55:43+00:00,0,0,,#NorthSide #traffic,['center lane'],['i-45'],[],[],1.0,1.0,"'center lane','i-45'",center+lane%2C+i-45,30.41192,-91.18764,0.95,"{'state': 0.89, 'streets': [0.59], 'houseNumber': 1.0}"
266,sh288_traffic,SH-288 Northbound At YELLOWSTONE BLVD - Accident - Status: Cleared at 5:55 PM,2020-08-31 22:57:14+00:00,0,0,,,['yellowstone blvd'],[],[],[],,0.0,'yellowstone blvd',yellowstone+blvd,30.47903,-91.07683,0.83,"{'state': 0.89, 'streets': [0.9]}"
953,1408Pop,In my Own Lane,2020-08-26 02:32:44+00:00,2,1,,,['own lane'],[],[],[],0.0,0.0,'own lane',own+lane,30.31678,-92.10824,0.87,"{'state': 0.89, 'streets': [0.71]}"
10,TotalTrafficHOU,"Road construction, right lane closed in #EastSide on S Sam Houston Tollway EB between Fairmont Pkwy and Genoa Red Bluff #traffic http://bit.ly/17hsIjn",2020-09-03 14:55:43+00:00,0,1,,#EastSide #traffic,"['right lane', 'fairmont pkwy']",[],[],[],1.0,1.0,"'right lane', 'fairmont pkwy'",right+lane%2C++fairmont+pkwy,31.43569,-92.6774,0.55,"{'state': 0.89, 'district': 0.89}"
921,atKWMemorial,Just listed by Crystal Duong in #Houston #TX. 1748 Ojeman Point Lane! Please retweet! https://tour.corelistingmachine.com/home/EDQ75K,2020-08-27 21:32:58+00:00,0,0,,#Houston #TX,['point lane'],[],[],[],0.0,0.0,'point lane',point+lane,30.18303,-93.24393,0.99,"{'state': 0.89, 'streets': [0.75]}"
175,R1KBF1Y,"The beauty of her, these hoes ain't in the same lane,, They can't come close..",2020-08-29 19:28:41+00:00,0,0,,,['same lane'],[],[],[],0.0,0.0,'same lane',same+lane,30.45426,-91.98632,0.94,"{'state': 0.89, 'streets': [0.99]}"
605,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #SanMarcos on I-35 SB at Mccarty Ln/Exit 201 #ATXtraffic http://bit.ly/10BGKax,2020-08-27 20:40:44+00:00,0,0,,#SanMarcos #ATXtraffic,[],['i-35'],['exit 201'],[],1.0,1.0,"'i-35','exit 201'",i-35%2C+exit+201,30.44335,-91.18664,0.44,{'state': 0.89}
383,TotalTrafficAUS,"Accident, shoulder blocked in #Travis on I-35 Upper Deck SB at Manor Rd #ATXtraffic http://bit.ly/10BGKax",2020-08-30 22:05:43+00:00,0,1,,#Travis #ATXtraffic,['manor rd'],['i-35'],[],[],1.0,1.0,"'manor rd','i-35'",manor+rd%2C+i-35,29.93196,-90.35991,0.83,"{'state': 0.89, 'streets': [1.0]}"
440,TotalTrafficAUS,"Disabled vehicle, three lanes blocked in #Travis on I 35 Inbound at US-290/Exit 238 #ATXtraffic http://bit.ly/10BGKax",2020-08-29 14:55:44+00:00,0,0,,#Travis #ATXtraffic,[],['us-290'],['exit 238'],[],1.0,1.0,"'us-290','exit 238'",us-290%2C+exit+238,30.44335,-91.18664,0.5,"{'country': 1.0, 'state': 0.89}"
395,TotalTrafficHOU,"Accident, right lane blocked in #MissouriCity on S SAM HOUSTON TOLLWAY EB at Hillcroft #traffic http://bit.ly/17hsIjn",2020-08-30 17:35:43+00:00,0,0,,#MissouriCity #traffic,['right lane'],[],[],[],1.0,1.0,'right lane',right+lane,32.01282,-93.72278,0.99,"{'state': 0.89, 'streets': [0.9]}"
862,TotalTrafficHOU,"Accident. entrance ramp blocked in #Harris on Hwy 90 Crosby Fwy Inbound at S Lk Houston Pky, stop and go traffic back to Sam Houston Pky/Beltway 8 #traffic http://bit.ly/17hsIjn",2020-08-24 11:25:43+00:00,0,0,,#Harris #traffic,[],['hwy 90'],[],[],1.0,1.0,'hwy 90',hwy+90,30.18748,-92.42308,0.99,"{'state': 0.89, 'streets': [1.0]}"
110,I35WacoTravel,Carl's Corner | I-35 E northbound at FM 2959 (35E) | Various lanes closed today 7AM to 5PM https://www.i35wacodistrict.org/?id=13802#closures #My35,2020-09-01 13:00:40+00:00,0,0,,#My35,[],['i-35'],[],[],1.0,1.0,'i-35',i-35,30.44335,-91.18664,0.73,{'state': 0.89}
608,TotalTrafficAUS,"Disabled vehicle, left lane blocked in #Travis on I-35 NB at Oltorf St/Exit 232, stop and go traffic back to Woodward St #ATXtraffic http://bit.ly/10BGKax",2020-08-27 20:35:44+00:00,0,0,,#Travis #ATXtraffic,"['oltorf st', 'woodward st']",['i-35'],['exit 232'],[],1.0,1.0,"'oltorf st', 'woodward st','i-35','exit 232'",oltorf+st%2C++woodward+st%2C+i-35%2C+exit+232,0.0,0.0,0.0,0.0
873,TKMoniker,Chuck Berry Route 66 https://youtu.be/tg2EbJy-9dc via @YouTube audio,2020-08-31 23:16:13+00:00,5,14,@YouTube,,[],['route 66'],[],[],0.0,0.0,'route 66',route+66,30.35857,-93.43208,0.99,"{'state': 0.89, 'streets': [1.0]}"
865,TotalTrafficSAT,"Accident in #NewBraunfels on I-35 (Northeast Side) NB at FM-306/Exit 191, stop and go traffic back to FM-725/Seguin Ave/Exit 187 #traffic http://bit.ly/17hwv06",2020-08-24 11:15:43+00:00,0,0,,#NewBraunfels #traffic,['seguin ave'],['i-35'],"['exit 191', 'exit 187']",[],1.0,1.0,"'seguin ave','i-35','exit 191', 'exit 187'",seguin+ave%2C+i-35%2C+exit+191%2C++exit+187,0.0,0.0,0.0,0.0
674,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #SwSide on S Sam Houston Tollway WB at Gessner #traffic http://bit.ly/17hsIjn",2020-08-26 22:35:43+00:00,0,0,,#SwSide #traffic,['right lane'],[],[],[],1.0,1.0,'right lane',right+lane,32.01282,-93.72278,0.99,"{'state': 0.89, 'streets': [0.9]}"
128,BR_Traffic,I-10 West is closed at LA 415 (Lobdell) due to an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion has reached the Mississippi River Bridge. Use caution.,2020-09-01 10:59:30+00:00,1,1,,,[],"['i-10', 'us 190']",[],[],1.0,1.0,"'i-10', 'us 190'",i-10%2C++us+190,30.035,-89.98148,0.81,"{'country': 1.0, 'state': 0.89, 'streets': [1.0]}"
360,TotalTrafficHOU,"Accident, right lane blocked in #NorthwestSide on W Sam Houston Tollway NB at Philippine, stopped traffic back to Little York #traffic http://bit.ly/17hsIjn",2020-08-31 12:30:43+00:00,0,0,,#NorthwestSide #traffic,['right lane'],[],[],[],1.0,1.0,'right lane',right+lane,32.01282,-93.72278,0.99,"{'state': 0.89, 'streets': [0.9]}"
271,TotalTrafficHOU,"Accident. three left lanes blocked in #SouthSide on Hwy 288 NB at Yellowstone, stop and go traffic back to The S Lp #traffic http://bit.ly/17hsIjn",2020-08-31 22:35:43+00:00,0,0,,#SouthSide #traffic,[],['hwy 288'],[],[],1.0,1.0,'hwy 288',hwy+288,30.32045,-91.22371,0.86,"{'state': 0.89, 'streets': [0.67]}"
943,BHGREGaryGreene,"See a virtual tour of one of our newest #listings 2829 Timmons Lane, Unit 167 #Houston #TX https://tour.corelistingmachine.com/home/RREA5H",2020-08-26 20:21:49+00:00,0,0,,#listings #Houston #TX,['timmons lane'],[],[],[],0.0,0.0,'timmons lane',timmons+lane,31.45859,-92.41998,0.95,"{'state': 0.89, 'streets': [0.91]}"
421,TotalTrafficHOU,Accident. right lane blocked in #NorthSide on I-45 N Fwy Outbound at The 610 N Lp #traffic http://bit.ly/17hsIjn,2020-08-29 20:40:43+00:00,0,0,,#NorthSide #traffic,['right lane'],['i-45'],[],[],1.0,1.0,"'right lane','i-45'",right+lane%2C+i-45,32.01282,-93.72278,0.85,"{'state': 0.89, 'streets': [0.9]}"
696,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #Travis on I 35 SB at Parmer Ln/Exit 245 #ATXtraffic http://bit.ly/10BGKax,2020-08-26 19:20:44+00:00,0,0,,#Travis #ATXtraffic,[],[],['exit 245'],[],1.0,1.0,'exit 245',exit+245,30.57037,-92.07446,0.99,"{'state': 0.89, 'streets': [0.3], 'houseNumber': 1.0}"
935,TrashonW,Stay in yo lane,2020-08-27 02:36:27+00:00,1,0,,,['yo lane'],[],[],[],0.0,0.0,'yo lane',yo+lane,30.1041,-91.00091,0.86,"{'state': 0.89, 'streets': [0.9]}"
227,DOPECHICKBEATS,I-45 is a mess right now north bound from people evacuating. Praying this doesn’t turn into a hurricane Rita situation with people stranded in gridlocked traffic,2020-08-26 21:35:53+00:00,0,1,,,[],['i-45'],[],[],0.0,0.0,'i-45',i-45,30.44335,-91.18664,0.73,{'state': 0.89}
504,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Outbound at Bunker Hl, stop and go traffic back to Chimney Rock Rd/Wirt Rd #traffic http://bit.ly/17hsIjn",2020-08-28 22:20:44+00:00,0,0,,#WestSide #traffic,"['rock rd', 'wirt rd']",['i-10'],[],[],1.0,1.0,"'rock rd', 'wirt rd','i-10'",rock+rd%2C++wirt+rd%2C+i-10,30.44335,-91.18664,0.35,{'state': 0.89}
628,CarlyLaing1,#TRAFFIC : Highland Road blocked at Woodbridge Blvd. tree blocking roadway,2020-08-27 15:53:08+00:00,1,2,,#TRAFFIC,"['highland road', 'woodbridge blvd']",[],[],[],1.0,1.0,"'highland road', 'woodbridge blvd'",highland+road%2C++woodbridge+blvd,32.85519,-91.21916,0.47,"{'state': 0.89, 'district': 1.0}"
465,TotalTrafficHOU,Accident. right shoulder blocked in #NwSide on W Sam Houston Tollway SB at Hwy 290 #traffic http://bit.ly/17hsIjn,2020-08-29 00:55:44+00:00,0,0,,#NwSide #traffic,[],['hwy 290'],[],[],1.0,1.0,'hwy 290',hwy+290,30.44335,-91.18664,0.57,{'state': 0.89}
337,TotalTrafficBTR,"Accident, right lane blocked in #EastBatonRouge on I-12 EB between Oneal Ln/Hwy 3245/Exit 7 and Range Ave./Hwy 3002/Exit 10 #traffic http://bit.ly/12oyfoo",2020-08-31 18:20:43+00:00,0,0,,#EastBatonRouge #traffic,['right lane'],"['i-12', 'hwy 3245']","['exit 7', 'exit 10']",[],1.0,1.0,"'right lane','i-12', 'hwy 3245','exit 7', 'exit 10'",right+lane%2C+i-12%2C++hwy+3245%2C+exit+7%2C++exit+10,0.0,0.0,0.0,0.0
1016,CourtneyCW39,. @TxDOTBeaumont out of Chambers Co is on scene now starting to clear off HWY 87 near High Island. No estimated time on how long it will take just yet. @CW39Houston #Laura – at High Island Beach,2020-08-27 10:50:49+00:00,3,3,@TxDOTBeaumont @CW39Houston,#Laura,[],['hwy 87'],[],[],,1.0,'hwy 87',hwy+87,30.44335,-91.18664,0.61,{'state': 0.89}
