Index,User,Text,Date,Favorites,Retweets,Mentions,HashTags,docs,streets,highways,exits,markers,road_closed
488,TotalTrafficHOU,"Accident cleared in #Downtown on US-69 SW Fwy Inbound at US-59 Hov Lane/Main St, stop and go traffic back to Shepherd / Greenbriar #traffic http://bit.ly/17hsIjn",2020-08-28 23:25:43+00:00,0,0,,#Downtown #traffic,"accident cleared in #downtown on us-69 sw fwy inbound at us-59 hov lane/main st, stop and go traffic back to shepherd / greenbriar #traffic http://bit.ly/17hsijn","['hov lane', 'main st']",['us-69'],[],[],
195,iembot_shv,"At 7:30 AM CDT, 7 NNW Hemphill [Sabine Co, TX] BROADCAST MEDIA reports HURRICANE. HIGHWAY 21 NEAR HIGHWAY 103 WAS CLOSED DUE TO MULTIPLE FALLEN TREES. OTHER TREES WERE DOWNED AT MADDUX CREEK, FM 276, AND FM 2024. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271230/202008271230",2020-08-27 21:51:06+00:00,0,1,,,"at 7:30 am cdt, 7 nnw hemphill [sabine co, tx] broadcast media reports hurricane. highway 21 near highway 103 was closed due to multiple fallen trees. other trees were downed at maddux creek, fm 276, and fm 2024. https://mesonet.agron.iastate.edu/lsr/#shv/202008271230/202008271230",[],"['highway 21', 'highway 103']",[],[],1
439,TotalTrafficHOU,"Accident, right lane blocked in #WestSide on W SAM HOUSTON TOLLWAY NB before Briar Forest #traffic http://bit.ly/17hsIjn",2020-08-29 15:00:43+00:00,0,0,,#WestSide #traffic,"accident, right lane blocked in #westside on w sam houston tollway nb before briar forest #traffic http://bit.ly/17hsijn",['right lane'],[],[],[],1
355,TotalTrafficHOU,"Stall reported clear in #Downtown on I-45 SB at Dallas St, stopped traffic back to Patton #traffic http://bit.ly/17hsIjn",2020-08-31 13:00:43+00:00,0,0,,#Downtown #traffic,"stall reported clear in #downtown on i-45 sb at dallas st, stopped traffic back to patton #traffic http://bit.ly/17hsijn",['dallas st'],['i-45'],[],[],
413,TotalTrafficHOU,Accident. left lane blocked in #SeSide on I-45 Gulf Fwy Inbound at Telephone Rd. #traffic http://bit.ly/17hsIjn,2020-08-30 00:00:44+00:00,0,0,,#SeSide #traffic,accident. left lane blocked in #seside on i-45 gulf fwy inbound at telephone rd. #traffic http://bit.ly/17hsijn,"['left lane', 'telephone rd']",['i-45'],[],[],1
463,TotalTrafficHOU,"Accident, left lane blocked in #Downtown on I-45 Gulf Fwy Outbound between 69, stop and go traffic back to Allen Pky/Houston Ave/Exit 47 #traffic http://bit.ly/17hsIjn",2020-08-29 01:10:43+00:00,0,0,,#Downtown #traffic,"accident, left lane blocked in #downtown on i-45 gulf fwy outbound between 69, stop and go traffic back to allen pky/houston ave/exit 47 #traffic http://bit.ly/17hsijn",['houston ave'],['i-45'],['exit 47'],[],1
663,TotalTrafficHOU,Accident cleared in #FortBend on US-90-ALT Inbound before FM-1952 #traffic http://bit.ly/17hsIjn,2020-08-26 23:55:43+00:00,0,0,,#FortBend #traffic,accident cleared in #fortbend on us-90-alt inbound before fm-1952 #traffic http://bit.ly/17hsijn,[],['us-90-alt'],[],[],1
452,TotalTrafficAUS,"Disabled vehicle, shoulder blocked in #Buda on I-35 Frontage NB at Farm-to-Market Rd 1327 #ATXtraffic http://bit.ly/10BGKax",2020-08-29 12:40:43+00:00,0,0,,#Buda #ATXtraffic,"disabled vehicle, shoulder blocked in #buda on i-35 frontage nb at farm-to-market rd 1327 #atxtraffic http://bit.ly/10bgkax",['market rd'],['i-35'],[],[],1
466,TotalTrafficAUS,"Accident. only the left lane getting by in #SanMarcos on I-35 NB at Hwy 123/Exit 204, stop and go traffic back to Mccarty Ln/Exit 201 #ATXtraffic http://bit.ly/10BGKax",2020-08-29 00:55:44+00:00,0,0,,#SanMarcos #ATXtraffic,"accident. only the left lane getting by in #sanmarcos on i-35 nb at hwy 123/exit 204, stop and go traffic back to mccarty ln/exit 201 #atxtraffic http://bit.ly/10bgkax",['left lane'],"['i-35', 'hwy 123']","['exit 204', 'exit 201']",[],1
654,TotalTrafficHOU,High water in various areas. use caution in #Galveston on FM-3005 Both EB/WB between CR-257 and TX-87/Avenue J/Broadway St #traffic http://bit.ly/17hsIjn,2020-08-27 03:45:43+00:00,1,1,,#Galveston #traffic,high water in various areas. use caution in #galveston on fm-3005 both eb/wb between cr-257 and tx-87/avenue j/broadway st #traffic http://bit.ly/17hsijn,['broadway st'],[],[],[],
1008,CourtneyCW39,". @GalvCoTx Judge Mark Henry has lifted the mandatory evacuation order for the Bolivar Peninsula, HWY 87 is cleared &amp; the ferry is up &amp; running again. It’s now safe for Bolivar Peninsula residents to go home. @CW39Houston",2020-08-27 15:33:20+00:00,2,5,@GalvCoTx @CW39Houston,,". @galvcotx judge mark henry has lifted the mandatory evacuation order for the bolivar peninsula, hwy 87 is cleared &amp; the ferry is up &amp; running again. it’s now safe for bolivar peninsula residents to go home. @cw39houston",[],['hwy 87'],[],[],1
406,TotalTrafficAUS,"Accident, right lane blocked in #Travis on I 35 SB at Wells Branch Pkwy/FM 1825 #ATXtraffic http://bit.ly/10BGKax",2020-08-30 11:55:42+00:00,0,0,,#Travis #ATXtraffic,"accident, right lane blocked in #travis on i 35 sb at wells branch pkwy/fm 1825 #atxtraffic http://bit.ly/10bgkax","['right lane', 'branch pkwy']",[],[],[],1
621,GeorgetownTXFD,A transformer fire on Del Webb Blvd north of Trail of the Flowers is the cause of power outage in Sun City. The fire is out and traffic is moving on Del Webb. Use caution @georgetowntx utility workers are still in the area. @GeorgetownTXPD just cleared. Power is being restored. – at Legacy Hills Golf Course,2020-08-27 17:05:16+00:00,3,5,@georgetowntx @GeorgetownTXPD,,a transformer fire on del webb blvd north of trail of the flowers is the cause of power outage in sun city. the fire is out and traffic is moving on del webb. use caution @georgetowntx utility workers are still in the area. @georgetowntxpd just cleared. power is being restored. – at legacy hills golf course,['webb blvd'],[],[],[],1
181,iembot_shv,"At 10:20 AM CDT, 7 WNW Robeline [Natchitoches Co, LA] TRAINED SPOTTER reports HURRICANE. TREES DOWN ON HIGHWAY 120. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271520/202008271520",2020-08-28 17:58:27+00:00,0,0,,,"at 10:20 am cdt, 7 wnw robeline [natchitoches co, la] trained spotter reports hurricane. trees down on highway 120. https://mesonet.agron.iastate.edu/lsr/#shv/202008271520/202008271520",[],['highway 120'],[],[],1
589,TotalTrafficAUS,"Disabled vehicle cleared in #Williamson on I 35 NB at Westinghouse Rd/Exit 257, slow traffic back to FM 1431/Chandler Rd/Exit 256 #ATXtraffic http://bit.ly/10BGKax",2020-08-27 22:15:43+00:00,0,1,,#Williamson #ATXtraffic,"disabled vehicle cleared in #williamson on i 35 nb at westinghouse rd/exit 257, slow traffic back to fm 1431/chandler rd/exit 256 #atxtraffic http://bit.ly/10bgkax","['westinghouse rd', 'chandler rd']",[],"['exit 257', 'exit 256']",[],
758,TotalTrafficAUS,"Accident affecting exit ramp in #Austin on I-35 NB at Woodland Ave, slow traffic back to Oltorf St/Exit 232 #ATXtraffic http://bit.ly/10BGKax",2020-08-25 19:55:43+00:00,0,0,,#Austin #ATXtraffic,"accident affecting exit ramp in #austin on i-35 nb at woodland ave, slow traffic back to oltorf st/exit 232 #atxtraffic http://bit.ly/10bgkax","['woodland ave', 'oltorf st']",['i-35'],['exit 232'],[],1
707,TotalTrafficAUS,"Accident, right lane blocked in #SanMarcos on I-35 NB at Mccarty Ln/Exit 201, stop and go traffic back to Ctr Point Rd/Exit 200 #ATXtraffic http://bit.ly/10BGKax",2020-08-26 18:20:43+00:00,0,0,,#SanMarcos #ATXtraffic,"accident, right lane blocked in #sanmarcos on i-35 nb at mccarty ln/exit 201, stop and go traffic back to ctr point rd/exit 200 #atxtraffic http://bit.ly/10bgkax","['right lane', 'point rd']",['i-35'],"['exit 201', 'exit 200']",[],1
952,AMPARADOXXX,Lmao I agree Nigga had a whole lane then stopped pumped faked then tried to drive like wtf,2020-08-26 11:41:18+00:00,0,0,,,lmao i agree nigga had a whole lane then stopped pumped faked then tried to drive like wtf,['whole lane'],[],[],[],0
514,TotalTrafficHOU,"Accident. two left lanes blocked in #Katy on Hwy 99 / The Grand Pkwy SB before Cinco Ranch Blvd, stop and go traffic back to I-10 #traffic http://bit.ly/17hsIjn",2020-08-28 21:25:43+00:00,0,0,,#Katy #traffic,"accident. two left lanes blocked in #katy on hwy 99 / the grand pkwy sb before cinco ranch blvd, stop and go traffic back to i-10 #traffic http://bit.ly/17hsijn","['grand pkwy', 'ranch blvd']",['hwy 99'],[],[],1
436,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #SouthSide on S. Lp 610 EB at Hwy 288 #traffic http://bit.ly/17hsIjn",2020-08-29 17:15:43+00:00,0,0,,#SouthSide #traffic,"disabled vehicle, right lane blocked in #southside on s. lp 610 eb at hwy 288 #traffic http://bit.ly/17hsijn",['right lane'],['hwy 288'],[],[],1
152,TxDOTHouston,I-69 Eastex NB ramp to I-10 WB is closed due to heavy truck crash.,2020-08-31 22:30:53+00:00,1,5,,,i-69 eastex nb ramp to i-10 wb is closed due to heavy truck crash.,[],"['i-69', 'i-10']",[],[],1
253,Shreveport_Traf,All lanes are open on I-220 West at North Market Street. Congestion is minimal.,2020-08-31 23:54:26+00:00,0,0,,,all lanes are open on i-220 west at north market street. congestion is minimal.,['market street'],['i-220'],[],[],
170,TotalTrafficBTR,Closed due to accident in #Lafayette on I 10 WB between Louisiana Ave/Exit 104 and I-49/US-167/Opelousas/Exit 103 A&amp;B #traffic http://bit.ly/12oyfoo,2020-08-31 13:15:44+00:00,0,0,,#Lafayette #traffic,closed due to accident in #lafayette on i 10 wb between louisiana ave/exit 104 and i-49/us-167/opelousas/exit 103 a&amp;b #traffic http://bit.ly/12oyfoo,['louisiana ave'],"['i-49', 'us-167']","['exit 104', 'exit 103']",[],1
917,BHGREGaryGreene,We are looking for a buyer on 20418 Peach Mountain Lane #Cypress #TX #realestate https://tour.corelistingmachine.com/home/GUVFVH,2020-08-28 14:46:47+00:00,0,0,,#Cypress #TX #realestate,we are looking for a buyer on 20418 peach mountain lane #cypress #tx #realestate https://tour.corelistingmachine.com/home/guvfvh,['mountain lane'],[],[],[],0
711,TotalTrafficHOU,"Disabled vehicle, center lane blocked in #NorthSide on I-45 N Fwy NB at The 610 N Lp, stop and go traffic back to Cavalcade #traffic http://bit.ly/17hsIjn",2020-08-26 17:55:43+00:00,0,0,,#NorthSide #traffic,"disabled vehicle, center lane blocked in #northside on i-45 n fwy nb at the 610 n lp, stop and go traffic back to cavalcade #traffic http://bit.ly/17hsijn",['center lane'],['i-45'],[],[],1
266,sh288_traffic,SH-288 Northbound At YELLOWSTONE BLVD - Accident - Status: Cleared at 5:55 PM,2020-08-31 22:57:14+00:00,0,0,,,sh-288 northbound at yellowstone blvd - accident - status: cleared at 5:55 pm,['yellowstone blvd'],[],[],[],
953,1408Pop,In my Own Lane,2020-08-26 02:32:44+00:00,2,1,,,in my own lane,['own lane'],[],[],[],0
10,TotalTrafficHOU,"Road construction, right lane closed in #EastSide on S Sam Houston Tollway EB between Fairmont Pkwy and Genoa Red Bluff #traffic http://bit.ly/17hsIjn",2020-09-03 14:55:43+00:00,0,1,,#EastSide #traffic,"road construction, right lane closed in #eastside on s sam houston tollway eb between fairmont pkwy and genoa red bluff #traffic http://bit.ly/17hsijn","['right lane', 'fairmont pkwy']",[],[],[],1
921,atKWMemorial,Just listed by Crystal Duong in #Houston #TX. 1748 Ojeman Point Lane! Please retweet! https://tour.corelistingmachine.com/home/EDQ75K,2020-08-27 21:32:58+00:00,0,0,,#Houston #TX,just listed by crystal duong in #houston #tx. 1748 ojeman point lane! please retweet! https://tour.corelistingmachine.com/home/edq75k,['point lane'],[],[],[],0
175,R1KBF1Y,"The beauty of her, these hoes ain't in the same lane,, They can't come close..",2020-08-29 19:28:41+00:00,0,0,,,"the beauty of her, these hoes ain't in the same lane,, they can't come close..",['same lane'],[],[],[],0
605,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #SanMarcos on I-35 SB at Mccarty Ln/Exit 201 #ATXtraffic http://bit.ly/10BGKax,2020-08-27 20:40:44+00:00,0,0,,#SanMarcos #ATXtraffic,disabled vehicle. right shoulder blocked in #sanmarcos on i-35 sb at mccarty ln/exit 201 #atxtraffic http://bit.ly/10bgkax,[],['i-35'],['exit 201'],[],1
383,TotalTrafficAUS,"Accident, shoulder blocked in #Travis on I-35 Upper Deck SB at Manor Rd #ATXtraffic http://bit.ly/10BGKax",2020-08-30 22:05:43+00:00,0,1,,#Travis #ATXtraffic,"accident, shoulder blocked in #travis on i-35 upper deck sb at manor rd #atxtraffic http://bit.ly/10bgkax",['manor rd'],['i-35'],[],[],1
440,TotalTrafficAUS,"Disabled vehicle, three lanes blocked in #Travis on I 35 Inbound at US-290/Exit 238 #ATXtraffic http://bit.ly/10BGKax",2020-08-29 14:55:44+00:00,0,0,,#Travis #ATXtraffic,"disabled vehicle, three lanes blocked in #travis on i 35 inbound at us-290/exit 238 #atxtraffic http://bit.ly/10bgkax",[],['us-290'],['exit 238'],[],1
395,TotalTrafficHOU,"Accident, right lane blocked in #MissouriCity on S SAM HOUSTON TOLLWAY EB at Hillcroft #traffic http://bit.ly/17hsIjn",2020-08-30 17:35:43+00:00,0,0,,#MissouriCity #traffic,"accident, right lane blocked in #missouricity on s sam houston tollway eb at hillcroft #traffic http://bit.ly/17hsijn",['right lane'],[],[],[],1
862,TotalTrafficHOU,"Accident. entrance ramp blocked in #Harris on Hwy 90 Crosby Fwy Inbound at S Lk Houston Pky, stop and go traffic back to Sam Houston Pky/Beltway 8 #traffic http://bit.ly/17hsIjn",2020-08-24 11:25:43+00:00,0,0,,#Harris #traffic,"accident. entrance ramp blocked in #harris on hwy 90 crosby fwy inbound at s lk houston pky, stop and go traffic back to sam houston pky/beltway 8 #traffic http://bit.ly/17hsijn",[],['hwy 90'],[],[],1
110,I35WacoTravel,Carl's Corner | I-35 E northbound at FM 2959 (35E) | Various lanes closed today 7AM to 5PM https://www.i35wacodistrict.org/?id=13802#closures #My35,2020-09-01 13:00:40+00:00,0,0,,#My35,carl's corner | i-35 e northbound at fm 2959 (35e) | various lanes closed today 7am to 5pm https://www.i35wacodistrict.org/?id=13802#closures #my35,[],['i-35'],[],[],1
608,TotalTrafficAUS,"Disabled vehicle, left lane blocked in #Travis on I-35 NB at Oltorf St/Exit 232, stop and go traffic back to Woodward St #ATXtraffic http://bit.ly/10BGKax",2020-08-27 20:35:44+00:00,0,0,,#Travis #ATXtraffic,"disabled vehicle, left lane blocked in #travis on i-35 nb at oltorf st/exit 232, stop and go traffic back to woodward st #atxtraffic http://bit.ly/10bgkax","['oltorf st', 'woodward st']",['i-35'],['exit 232'],[],1
873,TKMoniker,Chuck Berry Route 66 https://youtu.be/tg2EbJy-9dc via @YouTube audio,2020-08-31 23:16:13+00:00,5,14,@YouTube,,chuck berry route 66 https://youtu.be/tg2ebjy-9dc via @youtube audio,[],['route 66'],[],[],0
865,TotalTrafficSAT,"Accident in #NewBraunfels on I-35 (Northeast Side) NB at FM-306/Exit 191, stop and go traffic back to FM-725/Seguin Ave/Exit 187 #traffic http://bit.ly/17hwv06",2020-08-24 11:15:43+00:00,0,0,,#NewBraunfels #traffic,"accident in #newbraunfels on i-35 (northeast side) nb at fm-306/exit 191, stop and go traffic back to fm-725/seguin ave/exit 187 #traffic http://bit.ly/17hwv06",['seguin ave'],['i-35'],"['exit 191', 'exit 187']",[],1
674,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #SwSide on S Sam Houston Tollway WB at Gessner #traffic http://bit.ly/17hsIjn",2020-08-26 22:35:43+00:00,0,0,,#SwSide #traffic,"disabled vehicle, right lane blocked in #swside on s sam houston tollway wb at gessner #traffic http://bit.ly/17hsijn",['right lane'],[],[],[],1
128,BR_Traffic,I-10 West is closed at LA 415 (Lobdell) due to an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion has reached the Mississippi River Bridge. Use caution.,2020-09-01 10:59:30+00:00,1,1,,,i-10 west is closed at la 415 (lobdell) due to an incident at whiskey bay. motorist are being diverted onto la 415 north to us 190 west. congestion has reached the mississippi river bridge. use caution.,[],"['i-10', 'us 190']",[],[],1
360,TotalTrafficHOU,"Accident, right lane blocked in #NorthwestSide on W Sam Houston Tollway NB at Philippine, stopped traffic back to Little York #traffic http://bit.ly/17hsIjn",2020-08-31 12:30:43+00:00,0,0,,#NorthwestSide #traffic,"accident, right lane blocked in #northwestside on w sam houston tollway nb at philippine, stopped traffic back to little york #traffic http://bit.ly/17hsijn",['right lane'],[],[],[],1
271,TotalTrafficHOU,"Accident. three left lanes blocked in #SouthSide on Hwy 288 NB at Yellowstone, stop and go traffic back to The S Lp #traffic http://bit.ly/17hsIjn",2020-08-31 22:35:43+00:00,0,0,,#SouthSide #traffic,"accident. three left lanes blocked in #southside on hwy 288 nb at yellowstone, stop and go traffic back to the s lp #traffic http://bit.ly/17hsijn",[],['hwy 288'],[],[],1
943,BHGREGaryGreene,"See a virtual tour of one of our newest #listings 2829 Timmons Lane, Unit 167 #Houston #TX https://tour.corelistingmachine.com/home/RREA5H",2020-08-26 20:21:49+00:00,0,0,,#listings #Houston #TX,"see a virtual tour of one of our newest #listings 2829 timmons lane, unit 167 #houston #tx https://tour.corelistingmachine.com/home/rrea5h",['timmons lane'],[],[],[],0
421,TotalTrafficHOU,Accident. right lane blocked in #NorthSide on I-45 N Fwy Outbound at The 610 N Lp #traffic http://bit.ly/17hsIjn,2020-08-29 20:40:43+00:00,0,0,,#NorthSide #traffic,accident. right lane blocked in #northside on i-45 n fwy outbound at the 610 n lp #traffic http://bit.ly/17hsijn,['right lane'],['i-45'],[],[],1
696,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #Travis on I 35 SB at Parmer Ln/Exit 245 #ATXtraffic http://bit.ly/10BGKax,2020-08-26 19:20:44+00:00,0,0,,#Travis #ATXtraffic,disabled vehicle. right shoulder blocked in #travis on i 35 sb at parmer ln/exit 245 #atxtraffic http://bit.ly/10bgkax,[],[],['exit 245'],[],1
935,TrashonW,Stay in yo lane,2020-08-27 02:36:27+00:00,1,0,,,stay in yo lane,['yo lane'],[],[],[],0
227,DOPECHICKBEATS,I-45 is a mess right now north bound from people evacuating. Praying this doesn’t turn into a hurricane Rita situation with people stranded in gridlocked traffic,2020-08-26 21:35:53+00:00,0,1,,,i-45 is a mess right now north bound from people evacuating. praying this doesn’t turn into a hurricane rita situation with people stranded in gridlocked traffic,[],['i-45'],[],[],0
504,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Outbound at Bunker Hl, stop and go traffic back to Chimney Rock Rd/Wirt Rd #traffic http://bit.ly/17hsIjn",2020-08-28 22:20:44+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 outbound at bunker hl, stop and go traffic back to chimney rock rd/wirt rd #traffic http://bit.ly/17hsijn","['rock rd', 'wirt rd']",['i-10'],[],[],1
628,CarlyLaing1,#TRAFFIC : Highland Road blocked at Woodbridge Blvd. tree blocking roadway,2020-08-27 15:53:08+00:00,1,2,,#TRAFFIC,#traffic : highland road blocked at woodbridge blvd. tree blocking roadway,"['highland road', 'woodbridge blvd']",[],[],[],1
465,TotalTrafficHOU,Accident. right shoulder blocked in #NwSide on W Sam Houston Tollway SB at Hwy 290 #traffic http://bit.ly/17hsIjn,2020-08-29 00:55:44+00:00,0,0,,#NwSide #traffic,accident. right shoulder blocked in #nwside on w sam houston tollway sb at hwy 290 #traffic http://bit.ly/17hsijn,[],['hwy 290'],[],[],1
337,TotalTrafficBTR,"Accident, right lane blocked in #EastBatonRouge on I-12 EB between Oneal Ln/Hwy 3245/Exit 7 and Range Ave./Hwy 3002/Exit 10 #traffic http://bit.ly/12oyfoo",2020-08-31 18:20:43+00:00,0,0,,#EastBatonRouge #traffic,"accident, right lane blocked in #eastbatonrouge on i-12 eb between oneal ln/hwy 3245/exit 7 and range ave./hwy 3002/exit 10 #traffic http://bit.ly/12oyfoo",['right lane'],"['i-12', 'hwy 3245']","['exit 7', 'exit 10']",[],1
1016,CourtneyCW39,. @TxDOTBeaumont out of Chambers Co is on scene now starting to clear off HWY 87 near High Island. No estimated time on how long it will take just yet. @CW39Houston #Laura – at High Island Beach,2020-08-27 10:50:49+00:00,3,3,@TxDOTBeaumont @CW39Houston,#Laura,. @txdotbeaumont out of chambers co is on scene now starting to clear off hwy 87 near high island. no estimated time on how long it will take just yet. @cw39houston #laura – at high island beach,[],['hwy 87'],[],[],
248,narstephens,"rule number:it’s obvious- if you just met these people, do not act a certain way to make them like you. do not act like they yo bestfriend. do not act like y’all close from jump. cause i’m getting TIRED of responding to all these messages about y’all actions.",2020-08-24 04:44:41+00:00,0,0,,,"rule number:it’s obvious- if you just met these people, do not act a certain way to make them like you. do not act like they yo bestfriend. do not act like y’all close from jump. cause i’m getting tired of responding to all these messages about y’all actions.",[],['obvious-'],[],[],0
