,Unnamed: 0,User,Text,Date,Favorites,Retweets,Mentions,HashTags,docs,streets,highways,exits,markers,road_closed
38,736,TotalTrafficHOU,"Vehicle fire. all mainlanes closed in #NwSide on US-290 Inbound between Barker Cypress and Telge, stopped traffic back to Spg Cypress #traffic http://bit.ly/17hsIjn",2020-09-03 01:50:43+00:00,0,0,,#NwSide #traffic,"vehicle fire. all mainlanes closed in #nwside on us-290 inbound between barker cypress and telge, stopped traffic back to spg cypress #traffic http://bit.ly/17hsijn",[],['us-290'],[],[],1.0
39,738,danawbrz,TRAFFIC ALERT: Another accident has I-10 (West) completely closed at Highland Rd. ,2020-09-03 01:49:26+00:00,2,0,,,traffic alert: another accident has i-10 (west) completely closed at highland rd. ,['highland rd'],['i-10'],[],[],1.0
40,740,danawbrz,TRAFFIC ALERT: Accident on I-10 East has completely closed the interstate just past the 10/110 Congestion has reached LA 1 ,2020-09-03 01:46:34+00:00,1,0,,,traffic alert: accident on i-10 east has completely closed the interstate just past the 10/110 congestion has reached la 1 ,[],"['i-10', 'la 1']",[],[],1.0
41,743,BTRtraffic,RT BR_Traffic I-10 East past I-10/110 is now closed due to an accident. Congestion is approaching LA 1.,2020-09-03 01:37:54+00:00,0,0,,,rt br_traffic i-10 east past i-10/110 is now closed due to an accident. congestion is approaching la 1.,[],"['i-10', 'i-10/110', 'la 1']",[],[],1.0
42,745,BR_Traffic,I-10 East past I-10/110 is now closed due to an accident. Congestion is approaching LA 1.,2020-09-03 01:34:59+00:00,1,1,,,i-10 east past i-10/110 is now closed due to an accident. congestion is approaching la 1.,[],"['i-10', 'i-10/110', 'la 1']",[],[],1.0
43,784,NOLA_Traffic,The left lane is closed on I-10 East at Loyola Drive due to emergency roadwork. Congestion is minimal.,2020-09-03 00:12:28+00:00,0,0,,,the left lane is closed on i-10 east at loyola drive due to emergency roadwork. congestion is minimal.,"['left lane', 'loyola drive']",['i-10'],[],[],1.0
44,794,TotalTrafficHOU,"Vehicle fire. all mainlanes closed in #NwSide on US-290 Inbound between Barker Cypress and Telge, stopped traffic back to #traffic http://bit.ly/17hsIjn",2020-09-02 23:50:43+00:00,0,0,,#NwSide #traffic,"vehicle fire. all mainlanes closed in #nwside on us-290 inbound between barker cypress and telge, stopped traffic back to #traffic http://bit.ly/17hsijn",[],['us-290'],[],[],1.0
45,803,TotalTrafficHOU,"Vehicle fire. all mainlanes closed in #NwSide on Hwy 290 NW Fwy Inbound at Telge, stopped traffic back to Barker Cypress #traffic http://bit.ly/17hsIjn",2020-09-02 23:35:43+00:00,0,0,,#NwSide #traffic,"vehicle fire. all mainlanes closed in #nwside on hwy 290 nw fwy inbound at telge, stopped traffic back to barker cypress #traffic http://bit.ly/17hsijn",[],['hwy 290'],[],[],1.0
49,900,TxDOTBeaumont,"BEAUMONT: I10 eastbound, Major Drive-Brooks Rd, will be down to one lane of traffic and the frontage road will be closed tonight, 9pm-5am, due to work on the frontage road.",2020-09-02 20:58:45+00:00,0,6,,,"beaumont: i10 eastbound, major drive-brooks rd, will be down to one lane of traffic and the frontage road will be closed tonight, 9pm-5am, due to work on the frontage road.","['major drive', 'brooks rd', 'frontage road', 'frontage road']",[],[],[],1.0
55,1016,TotalTrafficAUS,Closed due to accident in #TravisCounty on Farm-To-Market Rd 812 WB between FM 973 and Piland Triangle #ATXtraffic http://bit.ly/10BGKax,2020-09-02 18:10:43+00:00,0,0,,#TravisCounty #ATXtraffic,closed due to accident in #traviscounty on farm-to-market rd 812 wb between fm 973 and piland triangle #atxtraffic http://bit.ly/10bgkax,['market rd'],[],[],[],1.0
56,1021,TotalTrafficAUS,Closed due to accident in #TravisCounty on Farm-To-Market Rd 812 EB between Piland Triangle and FM 973 #ATXtraffic http://bit.ly/10BGKax,2020-09-02 18:05:43+00:00,0,0,,#TravisCounty #ATXtraffic,closed due to accident in #traviscounty on farm-to-market rd 812 eb between piland triangle and fm 973 #atxtraffic http://bit.ly/10bgkax,['market rd'],[],[],[],1.0
57,1025,TotalTrafficNO,1pm.. The exit ramp from I-10 West to I-510 South is closed to traffic due to an accident,2020-09-02 18:02:28+00:00,0,0,,,1pm.. the exit ramp from i-10 west to i-510 south is closed to traffic due to an accident,[],"['i-10', 'i-510']",[],[],1.0
59,1036,NOLA_Traffic,The exit ramp from I-10 West to I-510 South is closed to traffic due to an accident. Use Alternate Route. Congestion is minimal.,2020-09-02 17:37:52+00:00,0,0,,,the exit ramp from i-10 west to i-510 south is closed to traffic due to an accident. use alternate route. congestion is minimal.,[],"['i-10', 'i-510']",[],[],1.0
62,1068,TotalTrafficNO,11:46am.. I-510 South at I-10 East is closed to traffic due to an accident.,2020-09-02 16:46:27+00:00,0,0,,,11:46am.. i-510 south at i-10 east is closed to traffic due to an accident.,[],"['i-510', 'i-10']",[],[],1.0
63,1070,NOLA_Traffic,I-510 South at I-10 East is closed to traffic due to an accident. Use Alternate Route. Congestion is minimal.,2020-09-02 16:42:06+00:00,0,0,,,i-510 south at i-10 east is closed to traffic due to an accident. use alternate route. congestion is minimal.,[],"['i-510', 'i-10']",[],[],1.0
65,1099,TxDOTAustin,Traffic Alert: RM 1431 closed in both directions at Easy St in Jonestown due to crash. Consider alternatives until cleared. #atxtraffic,2020-09-02 15:52:10+00:00,0,3,,#atxtraffic,traffic alert: rm 1431 closed in both directions at easy st in jonestown due to crash. consider alternatives until cleared. #atxtraffic,['easy st'],[],[],[],1.0
68,1166,TxDOTWacoPIO,Current My35 Waco high water areas: — Outside lane of northbound I-35 mainlanes closed from 17th/18th Streets to 4th/5th Streets due to high water — Northbound I-35 exit for 8th/4th/5th Streets/University Parks Drive (Exit 334B) closed due to high water,2020-09-02 14:25:29+00:00,0,0,,,current my35 waco high water areas: — outside lane of northbound i-35 mainlanes closed from 17th/18th streets to 4th/5th streets due to high water — northbound i-35 exit for 8th/4th/5th streets/university parks drive (exit 334b) closed due to high water,['parks drive'],"['i-35', 'i-35']",[],[],1.0
71,1219,BRProudNews,TRAFFIC ALERT: Section of HWY 22 closed due to fatal pedestrian accident. ,2020-09-02 13:14:04+00:00,0,1,,,traffic alert: section of hwy 22 closed due to fatal pedestrian accident. ,[],['hwy 22'],[],[],1.0
73,1225,I35WacoTravel,Carl's Corner | I-35 E southbound at FM 2959 (35E) | Various lanes closed today 7AM to 5PM https://www.i35wacodistrict.org/?id=13803#closures #My35,2020-09-02 13:00:41+00:00,0,0,,#My35,carl's corner | i-35 e southbound at fm 2959 (35e) | various lanes closed today 7am to 5pm https://www.i35wacodistrict.org/?id=13803#closures #my35,[],['i-35'],[],[],1.0
74,1226,I35WacoTravel,Carl's Corner | I-35 E northbound at FM 2959 (35E) | Various lanes closed today 7AM to 5PM https://www.i35wacodistrict.org/?id=13802#closures #My35,2020-09-02 13:00:40+00:00,0,0,,#My35,carl's corner | i-35 e northbound at fm 2959 (35e) | various lanes closed today 7am to 5pm https://www.i35wacodistrict.org/?id=13802#closures #my35,[],['i-35'],[],[],1.0
79,1247,TotalTrafficBTR,Closed due to accident in #Ascension on Hwy 22 Both NB/SB between US 61/Airline Hwy and LA-429 #traffic http://bit.ly/12oyfoo,2020-09-02 12:05:43+00:00,0,0,,#Ascension #traffic,closed due to accident in #ascension on hwy 22 both nb/sb between us 61/airline hwy and la-429 #traffic http://bit.ly/12oyfoo,['airline hwy'],"['hwy 22', 'us 61']",[],[],1.0
80,1248,183South,"WED (9/2) 9 a.m. to 3 p.m., US 183 northbound mainlane left shoulder closed MLK Blvd. to US 290.#atxtraffic",2020-09-02 12:01:35+00:00,1,1,,#atxtraffic,"wed (9/2) 9 a.m. to 3 p.m., us 183 northbound mainlane left shoulder closed mlk blvd. to us 290.#atxtraffic",['mlk blvd'],['us 183'],[],[],1.0
94,1638,SteveWAFB,TRAFFIC ALERT I-10 W is back OPEN headed toward Lafayette. The interstate has reopened after being closed most of the day due to a tanker accident on the Basin Bridge. More traffic &gt;&gt; http://wafb.com/traffic,2020-09-01 19:41:31+00:00,1,0,,,traffic alert i-10 w is back open headed toward lafayette. the interstate has reopened after being closed most of the day due to a tanker accident on the basin bridge. more traffic &gt;&gt; http://wafb.com/traffic,[],['i-10'],[],[],1.0
95,1644,BTRtraffic,RT BR_Traffic I-10 West is now open at LA 975 (Whiskey Bay). The exit ramp remains closed at this time. There is no congestion. Check http://511la.org for updates.,2020-09-01 19:30:23+00:00,0,0,,,rt br_traffic i-10 west is now open at la 975 (whiskey bay). the exit ramp remains closed at this time. there is no congestion. check http://511la.org for updates.,[],"['i-10', 'la 975']",[],[],1.0
96,1646,TotalTrafficBTR,2:28pm... I-10 West is now open at LA 975 (Whiskey Bay). The exit ramp remains closed at this time. Traffic is still being diverted to LA 415 (Lobdell).,2020-09-01 19:29:15+00:00,0,0,,,2:28pm... i-10 west is now open at la 975 (whiskey bay). the exit ramp remains closed at this time. traffic is still being diverted to la 415 (lobdell).,[],"['i-10', 'la 975', 'la 415']",[],[],1.0
97,1647,Laf_Traffic,I-10 West is now open at LA 975 (Whiskey Bay). The exit ramp remains closed at this time. There is no congestion. Check http://511la.org for updates.,2020-09-01 19:27:44+00:00,0,3,,,i-10 west is now open at la 975 (whiskey bay). the exit ramp remains closed at this time. there is no congestion. check http://511la.org for updates.,[],"['i-10', 'la 975']",[],[],1.0
98,1648,BR_Traffic,I-10 West is now open at LA 975 (Whiskey Bay). The exit ramp remains closed at this time. There is no congestion. Check http://511la.org for updates.,2020-09-01 19:27:34+00:00,5,0,,,i-10 west is now open at la 975 (whiskey bay). the exit ramp remains closed at this time. there is no congestion. check http://511la.org for updates.,[],"['i-10', 'la 975']",[],[],1.0
101,1700,ChampsAndPups,Road tripping with Daddy back to Austin. I-10 being closed has made this an interesting trip,2020-09-01 17:56:18+00:00,0,0,,,road tripping with daddy back to austin. i-10 being closed has made this an interesting trip,[],['i-10'],[],[],1.0
102,1735,Houma_Traffic,The LA 24 East Twin Span Bridge is closed at LA 182 (New Orleans Boulevard) due to an accident. Traffic is detouring onto the LA 3040 Tunnel (1 mile north of closure). Congestion is minimal.,2020-09-01 17:03:50+00:00,0,0,,,the la 24 east twin span bridge is closed at la 182 (new orleans boulevard) due to an accident. traffic is detouring onto the la 3040 tunnel (1 mile north of closure). congestion is minimal.,['orleans boulevard'],"['la 24', 'la 182', 'la 3040']",[],[],1.0
104,1750,183South,"TUES (9/1) 9 a.m. to 3 p.m., US 183 northbound mainlane left shoulder closed MLK Blvd. to US 290.#atxtraffic",2020-09-01 16:30:15+00:00,0,1,,#atxtraffic,"tues (9/1) 9 a.m. to 3 p.m., us 183 northbound mainlane left shoulder closed mlk blvd. to us 290.#atxtraffic",['mlk blvd'],['us 183'],[],[],1.0
106,1758,NOPDNews,The 500 and 600 blocks of Podyras Street (riverbound) have been temporarily closed for a protest. Please use alternate routes.,2020-09-01 16:17:57+00:00,8,12,,,the 500 and 600 blocks of podyras street (riverbound) have been temporarily closed for a protest. please use alternate routes.,['podyras street'],[],[],[],1.0
108,1768,TotalTrafficBTR,11am.. I-10 West remains closed at LA 415 (Lobdell) due to recovery operations of an accident at Whiskey Bay.,2020-09-01 16:02:24+00:00,0,0,,,11am.. i-10 west remains closed at la 415 (lobdell) due to recovery operations of an accident at whiskey bay.,[],"['i-10', 'la 415']",[],[],1.0
110,1774,BTRtraffic,RT BR_Traffic I-10 West remains closed at LA 415 (Lobdell) due to recovery operations an incident at Whiskey Bay. Motorists are advised to use US 190 as an alternate route. This closure is expected to last several hours. Check http://511la.org for updates.,2020-09-01 15:43:47+00:00,0,0,,,rt br_traffic i-10 west remains closed at la 415 (lobdell) due to recovery operations an incident at whiskey bay. motorists are advised to use us 190 as an alternate route. this closure is expected to last several hours. check http://511la.org for updates.,[],"['i-10', 'la 415', 'us 190']",[],[],1.0
111,1777,973thedawg,I-10 West remains closed at LA 975 (Whiskey Bay) due to recovery operations. Motorists are advised to take an alternate route.,2020-09-01 15:41:03+00:00,0,0,,,i-10 west remains closed at la 975 (whiskey bay) due to recovery operations. motorists are advised to take an alternate route.,[],"['i-10', 'la 975']",[],[],1.0
112,1778,BR_Traffic,I-10 West remains closed at LA 415 (Lobdell) due to recovery operations an incident at Whiskey Bay. Motorists are advised to use US 190 as an alternate route. This closure is expected to last several hours. Check http://511la.org for updates.,2020-09-01 15:38:40+00:00,5,4,,,i-10 west remains closed at la 415 (lobdell) due to recovery operations an incident at whiskey bay. motorists are advised to use us 190 as an alternate route. this closure is expected to last several hours. check http://511la.org for updates.,[],"['i-10', 'la 415', 'us 190']",[],[],1.0
113,1780,Laf_Traffic,I-10 West remains closed at LA 975 (Whiskey Bay) due to recovery operations. Motorists are advised to take an alternate route. This closure is expected to last several hours. Check http://511la.org for updates.,2020-09-01 15:31:55+00:00,4,3,,,i-10 west remains closed at la 975 (whiskey bay) due to recovery operations. motorists are advised to take an alternate route. this closure is expected to last several hours. check http://511la.org for updates.,[],"['i-10', 'la 975']",[],[],1.0
115,1818,BTRtraffic,RT BR_Traffic I-10 West remains closed at LA 415 (Lobdell) due to recovery operations an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion has reached LA 1 (Port Allen). Use caution.,2020-09-01 14:28:18+00:00,0,0,,,rt br_traffic i-10 west remains closed at la 415 (lobdell) due to recovery operations an incident at whiskey bay. motorist are being diverted onto la 415 north to us 190 west. congestion has reached la 1 (port allen). use caution.,[],"['i-10', 'la 415', 'la 415', 'us 190', 'la 1']",[],[],1.0
116,1819,Laf_Traffic,I-10 West remains closed at LA 975 (Whiskey Bay) due to recovery operations. Motorists are advised to take an alternate route.,2020-09-01 14:26:24+00:00,2,2,,,i-10 west remains closed at la 975 (whiskey bay) due to recovery operations. motorists are advised to take an alternate route.,[],"['i-10', 'la 975']",[],[],1.0
117,1820,BR_Traffic,I-10 West remains closed at LA 415 (Lobdell) due to recovery operations an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion has reached LA 1 (Port Allen). Use caution.,2020-09-01 14:26:04+00:00,2,2,,,i-10 west remains closed at la 415 (lobdell) due to recovery operations an incident at whiskey bay. motorist are being diverted onto la 415 north to us 190 west. congestion has reached la 1 (port allen). use caution.,[],"['i-10', 'la 415', 'la 415', 'us 190', 'la 1']",[],[],1.0
119,1851,KATCTV3,I-10 West remains closed at Whiskey Bay after an 18-wheeler hauling hazardous materials overturned. Traffic is being diverted to LA 415. I-10 East has reopened at I-49. ,2020-09-01 13:24:18+00:00,2,1,,,i-10 west remains closed at whiskey bay after an 18-wheeler hauling hazardous materials overturned. traffic is being diverted to la 415. i-10 east has reopened at i-49. ,[],"['i-10', 'la 415', 'i-10', 'i-49']",[],[],1.0
120,1854,TotalTrafficBTR,"8:12am..... WB I-10 remains closed at Lobdell due to tanker truck crash on Whiskey Bay. Trailer hauling 87,000 gallons of gasoline still has to be removed",2020-09-01 13:13:09+00:00,0,1,,,"8:12am..... wb i-10 remains closed at lobdell due to tanker truck crash on whiskey bay. trailer hauling 87,000 gallons of gasoline still has to be removed",[],['i-10'],[],[],1.0
124,1862,I35WacoTravel,Carl's Corner | I-35 E southbound at FM 2959 (35E) | Various lanes closed today 7AM to 5PM https://www.i35wacodistrict.org/?id=13803#closures #My35,2020-09-01 13:00:41+00:00,0,0,,#My35,carl's corner | i-35 e southbound at fm 2959 (35e) | various lanes closed today 7am to 5pm https://www.i35wacodistrict.org/?id=13803#closures #my35,[],['i-35'],[],[],1.0
125,1863,I35WacoTravel,Carl's Corner | I-35 E northbound at FM 2959 (35E) | Various lanes closed today 7AM to 5PM https://www.i35wacodistrict.org/?id=13802#closures #My35,2020-09-01 13:00:40+00:00,0,0,,#My35,carl's corner | i-35 e northbound at fm 2959 (35e) | various lanes closed today 7am to 5pm https://www.i35wacodistrict.org/?id=13802#closures #my35,[],['i-35'],[],[],1.0
129,1867,WAFBTraffic,"Heads up drivers: I-10 heading towards Lafayette is still closed. The closure could last throughout the day, possibly into tomorrow. Plan an alternate route here: http://WAFB.com/traffic?utm_medium=social&amp;utm_source=twitter_WAFBTraffic",2020-09-01 13:00:01+00:00,0,0,,,"heads up drivers: i-10 heading towards lafayette is still closed. the closure could last throughout the day, possibly into tomorrow. plan an alternate route here: http://wafb.com/traffic?utm_medium=social&amp;utm_source=twitter_wafbtraffic",[],['i-10'],[],[],1.0
131,1872,BTRtraffic,RT BR_Traffic I-10 West remains closed at LA 415 (Lobdell) due to an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion remains the I-10/I-110. Use caution.,2020-09-01 12:49:05+00:00,0,0,,,rt br_traffic i-10 west remains closed at la 415 (lobdell) due to an incident at whiskey bay. motorist are being diverted onto la 415 north to us 190 west. congestion remains the i-10/i-110. use caution.,[],"['i-10', 'la 415', 'la 415', 'us 190', 'i-10', 'i-110']",[],[],1.0
132,1873,BR_Traffic,I-10 West remains closed at LA 415 (Lobdell) due to an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion remains the I-10/I-110. Use caution.,2020-09-01 12:48:23+00:00,3,1,,,i-10 west remains closed at la 415 (lobdell) due to an incident at whiskey bay. motorist are being diverted onto la 415 north to us 190 west. congestion remains the i-10/i-110. use caution.,[],"['i-10', 'la 415', 'la 415', 'us 190', 'i-10', 'i-110']",[],[],1.0
133,1874,Laf_Traffic,I-10 West remains closed at LA 975 (Whiskey Bay) due to overturned tractor trailer. Motorists are advised to take an alternate route.,2020-09-01 12:47:53+00:00,3,2,,,i-10 west remains closed at la 975 (whiskey bay) due to overturned tractor trailer. motorists are advised to take an alternate route.,[],"['i-10', 'la 975']",[],[],1.0
134,1883,KPLC7News,"FIRST ALERT TRAFFIC: I-0 West is closed between Baton Rouge and Lafayette due to an overturned tractor-trailer, according to DOTD. Traffic is being rerouted at Hwy 415. ",2020-09-01 12:24:15+00:00,2,1,,,"first alert traffic: i-0 west is closed between baton rouge and lafayette due to an overturned tractor-trailer, according to dotd. traffic is being rerouted at hwy 415. ",[],"['i-0', 'hwy 415']",[],[],1.0
135,1889,OklahomaCross,September is here! Our Online Account Portal is THE BEST way to pay your bill! No hold times & NO PROCESSING FEES! (Our offices are closed to the public and we will be experiencing high call volume.) #nofees #onlinebillpay #september #avoidholdtimes http://ow.ly/NOej50BeyFo,2020-09-01 12:06:54+00:00,0,0,,#nofees #onlinebillpay #september #avoidholdtimes,september is here! our online account portal is the best way to pay your bill! no hold times & no processing fees! (our offices are closed to the public and we will be experiencing high call volume.) #nofees #onlinebillpay #september #avoidholdtimes http://ow.ly/noej50beyfo,['best way'],[],[],[],1.0
136,1890,BTRtraffic,RT BR_Traffic I-10 West remains closed at LA 415 (Lobdell) due to an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion has reached the I-10/I-110. Use caution.,2020-09-01 12:03:16+00:00,0,0,,,rt br_traffic i-10 west remains closed at la 415 (lobdell) due to an incident at whiskey bay. motorist are being diverted onto la 415 north to us 190 west. congestion has reached the i-10/i-110. use caution.,[],"['i-10', 'la 415', 'la 415', 'us 190', 'i-10', 'i-110']",[],[],1.0
137,1892,BR_Traffic,I-10 West remains closed at LA 415 (Lobdell) due to an incident at Whiskey Bay. Motorist are being diverted onto LA 415 North to US 190 West. Congestion has reached the I-10/I-110. Use caution.,2020-09-01 11:59:38+00:00,4,1,,,i-10 west remains closed at la 415 (lobdell) due to an incident at whiskey bay. motorist are being diverted onto la 415 north to us 190 west. congestion has reached the i-10/i-110. use caution.,[],"['i-10', 'la 415', 'la 415', 'us 190', 'i-10', 'i-110']",[],[],1.0
138,1896,TotalTrafficBTR,6:49am.... EB I-10 back open in Lafayette. WB still closed at Lobdell,2020-09-01 11:49:37+00:00,0,0,,,6:49am.... eb i-10 back open in lafayette. wb still closed at lobdell,[],['i-10'],[],[],1.0
139,1898,BTRtraffic,RT BR_Traffic I-10 West remains closed at LA 975 (Whiskey Bay) due to overturned tractor trailer. Traffic is being diverted at LA 415 (Lobdell). Congestion has reached the Mississippi River Bridge. Motorists are advised to take an alternate route.,2020-09-01 11:47:37+00:00,0,0,,,rt br_traffic i-10 west remains closed at la 975 (whiskey bay) due to overturned tractor trailer. traffic is being diverted at la 415 (lobdell). congestion has reached the mississippi river bridge. motorists are advised to take an alternate route.,[],"['i-10', 'la 975', 'la 415']",[],[],1.0
140,1900,BR_Traffic,I-10 West remains closed at LA 975 (Whiskey Bay) due to overturned tractor trailer. Traffic is being diverted at LA 415 (Lobdell). Congestion has reached the Mississippi River Bridge. Motorists are advised to take an alternate route.,2020-09-01 11:44:41+00:00,2,0,,,i-10 west remains closed at la 975 (whiskey bay) due to overturned tractor trailer. traffic is being diverted at la 415 (lobdell). congestion has reached the mississippi river bridge. motorists are advised to take an alternate route.,[],"['i-10', 'la 975', 'la 415']",[],[],1.0
141,1901,Laf_Traffic,I-10 West remains closed at LA 975 (Whiskey Bay) due to overturned tractor trailer. Traffic is being diverted at LA 415 (Lobdell). Congestion has reached the Mississippi River Bridge. Motorists are advised to take an alternate route.,2020-09-01 11:44:29+00:00,2,1,,,i-10 west remains closed at la 975 (whiskey bay) due to overturned tractor trailer. traffic is being diverted at la 415 (lobdell). congestion has reached the mississippi river bridge. motorists are advised to take an alternate route.,[],"['i-10', 'la 975', 'la 415']",[],[],1.0
142,1906,BRProudNews,"TRAFFIC ALERT: I-10 E closed at I-49, I-10 W remains closed at Whiskey Bay due to overturned tanker leaking fuel. ",2020-09-01 11:25:05+00:00,0,0,,,"traffic alert: i-10 e closed at i-49, i-10 w remains closed at whiskey bay due to overturned tanker leaking fuel. ",[],"['i-10', 'i-49', 'i-10']",[],[],1.0
