Index,User,Text,Date,Favorites,Retweets,Mentions,HashTags,streets,highways,exits,markers,road_closed,predictions,query,query_string,lat,lng,query_score,field_score
211,TotalTrafficHOU,Closed for a short period of time to removed a down electrical line. in #Jefferson on I-10 EB between US-90/Exit 855 and FM-105/Exit 861A #traffic http://bit.ly/17hsIjn,2020-08-27 15:30:43+00:00,0,0,,#Jefferson #traffic,[],"['i-10', 'us-90']",['exit 855'],[],1.0,1.0,"'i-10', 'us-90','exit 855'",i-10%2C++us-90%2C+exit+855,30.00812,-90.01428,0.91,"{'country': 1.0, 'state': 0.89, 'streets': [1.0], 'placeName': 0.54}"
609,TotalTrafficAUS,"Accident affecting i-35 exit ramp in #Austin on TX-71 EB at I H 35, slow traffic back to Congress Ave #ATXtraffic http://bit.ly/10BGKax",2020-08-27 20:35:43+00:00,0,0,,#Austin #ATXtraffic,[],['i-35'],[],[],1.0,1.0,'i-35',i-35,30.44335,-91.18664,0.73,{'state': 0.89}
563,TotalTrafficHOU,Stalled vehicle affects the exit ramp. in #WestSide on I-10 Katy Outbound at Kirkwood #traffic http://bit.ly/17hsIjn,2020-08-28 13:55:43+00:00,0,0,,#WestSide #traffic,[],['i-10'],[],[],1.0,1.0,'i-10',i-10,30.035,-89.98148,0.99,"{'state': 0.89, 'streets': [1.0]}"
602,TotalTrafficHOU,Accident cleared in #NorthSide on I-45 N Fwy Outbound after Richey #traffic http://bit.ly/17hsIjn,2020-08-27 21:00:44+00:00,0,0,,#NorthSide #traffic,[],['i-45'],[],[],,1.0,'i-45',i-45,30.44335,-91.18664,0.73,{'state': 0.89}
206,TotalTrafficBTR,Closed due to vehicle recovery in #Ascension on I 10 WB after LA-30/Gonzales/St. Gabriel/Exit 177 and LA-73/Old Jefferson Hwy/Prairieville/Geismar/Exit 173 #traffic http://bit.ly/12oyfoo,2020-08-27 16:50:43+00:00,0,0,,#Ascension #traffic,['jefferson hwy'],[],"['exit 177', 'exit 173']",[],1.0,1.0,"'jefferson hwy','exit 177', 'exit 173'",jefferson+hwy%2C+exit+177%2C++exit+173,29.964509999999997,-90.13094,0.68,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
552,TotalTrafficHOU,"Disabled vehicle. right shoulder blocked in #SwSide on I-69 SW Inbound at The 610 W Lp, stop and go traffic back to Fountain View #traffic http://bit.ly/17hsIjn",2020-08-28 14:45:43+00:00,0,0,,#SwSide #traffic,[],['i-69'],[],[],1.0,1.0,'i-69',i-69,30.44335,-91.18664,0.73,{'state': 0.89}
545,TotalTrafficHOU,"Accident. two right lanes blocked in #Webster on I-45 Gulf Outbound before FM 2351, stop and go traffic back to Dixie Farm Rd. #traffic http://bit.ly/17hsIjn",2020-08-28 16:05:43+00:00,0,0,,#Webster #traffic,['farm rd'],['i-45'],[],[],1.0,1.0,"'farm rd','i-45'",farm+rd%2C+i-45,30.080340000000003,-90.45958,0.94,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
519,TotalTrafficAUS,"Accident, left lane blocked in #Austin on US 183 Frontage SB at Anderson Mill Rd, stop and go traffic back to Hymeadow Dr #ATXtraffic http://bit.ly/10BGKax",2020-08-28 21:00:43+00:00,0,1,,#Austin #ATXtraffic,['mill rd'],['us 183'],[],[],1.0,1.0,"'mill rd','us 183'",mill+rd%2C+us+183,31.16455,-93.27146,0.84,"{'country': 1.0, 'state': 0.89, 'streets': [1.0]}"
531,TotalTrafficBTR,Accident cleared in #EastBatonRougeParish on I 10 WB at College Dr/Exit 158 #traffic http://bit.ly/12oyfoo,2020-08-28 19:10:43+00:00,0,0,,#EastBatonRougeParish #traffic,[],[],['exit 158'],[],,1.0,'exit 158',exit+158,30.42292,-91.13662,0.73,"{'state': 0.89, 'streets': [1.0]}"
662,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #Travis on Mopac SB at Bee Caves Rd #ATXtraffic http://bit.ly/10BGKax,2020-08-27 00:20:43+00:00,0,0,,#Travis #ATXtraffic,['caves rd'],[],[],[],1.0,1.0,'caves rd',caves+rd,32.8927,-93.46335,0.87,"{'state': 0.89, 'streets': [0.83]}"
494,TotalTrafficHOU,"Accident, right lane blocked in #NorthSide on I-45 N Fwy Inbound at N. Main, stop and go traffic back to Cavalcade #traffic http://bit.ly/17hsIjn",2020-08-28 22:50:44+00:00,0,0,,#NorthSide #traffic,['right lane'],['i-45'],[],[],1.0,1.0,"'right lane','i-45'",right+lane%2C+i-45,32.01282,-93.72278,0.85,"{'state': 0.89, 'streets': [0.9]}"
564,TotalTrafficBTR,Accident with injury in #BatonRouge on Airline Hwy at St Gerard Ave #traffic http://bit.ly/12oyfoo,2020-08-28 13:25:43+00:00,0,0,,#BatonRouge #traffic,"['airline hwy', 'gerard ave']",[],[],[],1.0,1.0,"'airline hwy', 'gerard ave'",airline+hwy%2C++gerard+ave,30.435209999999998,-91.08332,0.67,"{'state': 0.89, 'streets': [1.0]}"
631,TotalTrafficHOU,Vehicle fire. right lane blocked. in #NwSide on W. Lp 610 NB after Hwy 290 #traffic http://bit.ly/17hsIjn,2020-08-27 15:40:43+00:00,0,0,,#NwSide #traffic,['right lane'],['hwy 290'],[],[],1.0,1.0,"'right lane','hwy 290'",right+lane%2C+hwy+290,29.914759999999998,-91.66168,0.69,"{'state': 0.89, 'streets': [0.47], 'houseNumber': 1.0}"
1012,CourtneyCW39,"Here’s a look at HWY 87 as we head towards Bolivar Peninsula. They are letting folks go through now, but crews are still working on the road and will be for the next little while. @CW39Houston – at High Island Beach",2020-08-27 12:52:53+00:00,1,1,@CW39Houston,,[],['hwy 87'],[],[],1.0,1.0,'hwy 87',hwy+87,30.44335,-91.18664,0.61,{'state': 0.89}
634,TotalTrafficBTR,Right lane blocked due to downed tree in #Iberville on I 10 EB at Hwy 975/Whiskey Bay/Exit 127 #traffic http://bit.ly/12oyfoo,2020-08-27 13:55:43+00:00,0,0,,#Iberville #traffic,['right lane'],['hwy 975'],['exit 127'],[],1.0,1.0,"'right lane','hwy 975','exit 127'",right+lane%2C+hwy+975%2C+exit+127,32.012890000000006,-93.72258000000001,0.67,"{'state': 0.89, 'streets': [0.9], 'houseNumber': 1.0}"
601,TotalTrafficAUS,"Disabled vehicle. right shoulder blocked in #Travis on Mopac SB before 2222 (Northland Dr), slow traffic back to Far W Blvd #ATXtraffic http://bit.ly/10BGKax",2020-08-27 21:15:45+00:00,0,0,,#Travis #ATXtraffic,['w blvd'],[],[],[],1.0,1.0,'w blvd',w+blvd,30.246779999999998,-92.26971,0.92,"{'state': 0.89, 'streets': [0.57]}"
606,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #SanMarcos on I-35 NB at Aquarena Springs Dr/Exit 206 #ATXtraffic http://bit.ly/10BGKax,2020-08-27 20:40:43+00:00,0,0,,#SanMarcos #ATXtraffic,[],['i-35'],['exit 206'],[],1.0,1.0,"'i-35','exit 206'",i-35%2C+exit+206,30.494159999999997,-90.09456999999999,0.72,"{'state': 0.89, 'streets': [0.56], 'houseNumber': 1.0}"
521,TotalTrafficAUS,"Accident. two right lanes blocked in #Austin on Mopac SB at US 290, stop and go traffic back to La Crosse Ave #ATXtraffic http://bit.ly/10BGKax",2020-08-28 20:55:43+00:00,0,0,,#Austin #ATXtraffic,[],['us 290'],[],[],1.0,1.0,'us 290',us+290,30.44335,-91.18664,0.77,"{'country': 1.0, 'state': 0.89}"
547,TotalTrafficBTR,"Accident, left lane blocked in #Lafayette on I 10 WB at Louisiana Ave/Exit 104 #traffic http://bit.ly/12oyfoo",2020-08-28 15:45:44+00:00,0,0,,#Lafayette #traffic,['louisiana ave'],[],['exit 104'],[],1.0,1.0,"'louisiana ave','exit 104'",louisiana+ave%2C+exit+104,31.629690000000004,-91.55383,0.85,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
546,TotalTrafficBTR,Accident in #Ascension on I 10 WB after LA-73/Old Jefferson Hwy/Prairieville/Geismar/Exit 173 #traffic http://bit.ly/12oyfoo,2020-08-28 16:00:44+00:00,0,0,,#Ascension #traffic,['jefferson hwy'],[],['exit 173'],[],1.0,1.0,"'jefferson hwy','exit 173'",jefferson+hwy%2C+exit+173,29.964509999999997,-90.13094,0.85,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
223,CarlyLaing1,Parts of I-10 are now closed as we wait for the arrival of #HurricaneLaura I-10 eastbound is closed at the Texas/Louisiana line,2020-08-27 01:58:37+00:00,0,0,,#HurricaneLaura,[],"['i-10', 'i-10']",[],[],1.0,1.0,"'i-10', 'i-10'",i-10%2C++i-10,30.035,-89.98148,0.79,"{'state': 0.89, 'streets': [1.0]}"
535,TotalTrafficHOU,"Accident, right lane blocked in #Harris on BELTWAY 8-EAST WB at Wallisville Rd #traffic http://bit.ly/17hsIjn",2020-08-28 17:50:44+00:00,0,0,,#Harris #traffic,['right lane'],[],[],[],1.0,1.0,'right lane',right+lane,32.01282,-93.72278,0.99,"{'state': 0.89, 'streets': [0.9]}"
517,TotalTrafficBTR,Accident cleared in #EastBatonRougeParish on I 10 EB at Perkins Rd/Exit 157A #traffic http://bit.ly/12oyfoo,2020-08-28 21:10:43+00:00,0,0,,#EastBatonRougeParish #traffic,['perkins rd'],[],[],[],,1.0,'perkins rd',perkins+rd,30.38911,-91.10519000000001,0.99,"{'state': 0.89, 'streets': [1.0]}"
578,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #Heights on I-10 Katy Fwy Outbound after Studemont #traffic http://bit.ly/17hsIjn",2020-08-27 23:55:44+00:00,0,1,,#Heights #traffic,['right lane'],['i-10'],[],[],1.0,1.0,"'right lane','i-10'",right+lane%2C+i-10,32.01282,-93.72278,0.85,"{'state': 0.89, 'streets': [0.9]}"
530,TotalTrafficBTR,"Accident, left lane blocked in #Iberville on I 10 EB at LA-77/Rosedale/Grosse Tete/Exit 139 #traffic http://bit.ly/12oyfoo",2020-08-28 19:30:43+00:00,0,0,,#Iberville #traffic,[],[],['exit 139'],[],1.0,1.0,'exit 139',exit+139,30.570159999999998,-92.07275,0.99,"{'state': 0.89, 'streets': [0.3], 'houseNumber': 1.0}"
481,TotalTrafficHOU,"Accident cleared in #WestSide on I-10 Katy Fwy Outbound after The W Sam Houston Tollway, stop and go traffic back to Blalock #traffic http://bit.ly/17hsIjn",2020-08-28 23:50:45+00:00,0,0,,#WestSide #traffic,[],['i-10'],[],[],,1.0,'i-10',i-10,30.035,-89.98148,0.99,"{'state': 0.89, 'streets': [1.0]}"
210,TotalTrafficHOU,Closed for a short period of time to removed a down electrical line. in #Orange on I-10 WB between FM-105/Exit 861A and US-90/Exit 855 #traffic http://bit.ly/17hsIjn,2020-08-27 15:30:44+00:00,0,0,,#Orange #traffic,[],"['i-10', 'us-90']",['exit 855'],[],1.0,1.0,"'i-10', 'us-90','exit 855'",i-10%2C++us-90%2C+exit+855,30.00812,-90.01428,0.91,"{'country': 1.0, 'state': 0.89, 'streets': [1.0], 'placeName': 0.54}"
502,TotalTrafficHOU,Accident cleared in #WestSide on I-10 Katy Fwy Outbound at Antoine #traffic http://bit.ly/17hsIjn,2020-08-28 22:25:43+00:00,0,0,,#WestSide #traffic,[],['i-10'],[],[],,1.0,'i-10',i-10,30.035,-89.98148,0.99,"{'state': 0.89, 'streets': [1.0]}"
487,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Fwy Inbound at Dairy Ashford, stop and go traffic back to Hwy 6 #traffic http://bit.ly/17hsIjn",2020-08-28 23:30:43+00:00,0,0,,#WestSide #traffic,[],"['i-10', 'hwy 6']",[],[],1.0,1.0,"'i-10', 'hwy 6'",i-10%2C++hwy+6,30.035,-89.98148,0.73,"{'state': 0.89, 'streets': [1.0]}"
575,TotalTrafficHOU,"A multi-car crash and car fire has all mainline lanes blocked. in #NeSide on N Sam Houston Pkwy EB before John F Kennedy Blvd, stop and go traffic back to Aldine Westfeild #traffic http://bit.ly/17hsIjn",2020-08-28 09:15:44+00:00,0,0,,#NeSide #traffic,"['houston pkwy', 'kennedy blvd']",[],[],[],1.0,1.0,"'houston pkwy', 'kennedy blvd'",houston+pkwy%2C++kennedy+blvd,29.944840000000003,-95.33179,0.6,"{'city': 1.0, 'streets': [0.92]}"
520,TotalTrafficHOU,Disabled vehicle. center lane blocked in #WestSide on US-69 SW Fwy Outbound at Buffalo Speedway #traffic http://bit.ly/17hsIjn,2020-08-28 21:00:43+00:00,0,0,,#WestSide #traffic,['center lane'],['us-69'],[],[],1.0,1.0,"'center lane','us-69'",center+lane%2C+us-69,29.798920000000003,-93.32483,0.96,"{'country': 1.0, 'state': 0.89, 'streets': [0.77], 'houseNumber': 0.68}"
596,TotalTrafficHOU,"Accident. two right lanes blocked in #NorthSide on I-45 N Fwy Outbound at Cypresswood, stop and go traffic back to Paramatta/Hollow Tree Ln #traffic http://bit.ly/17hsIjn",2020-08-27 21:35:43+00:00,0,0,,#NorthSide #traffic,[],['i-45'],[],[],1.0,1.0,'i-45',i-45,30.44335,-91.18664,0.73,{'state': 0.89}
480,TotalTrafficHOU,"Accident cleared in #WestSide on I-10 Katy Fwy Inbound at Dairy Ashford, stop and go traffic back to Hwy 6 #traffic http://bit.ly/17hsIjn",2020-08-28 23:55:43+00:00,0,0,,#WestSide #traffic,[],"['i-10', 'hwy 6']",[],[],,1.0,"'i-10', 'hwy 6'",i-10%2C++hwy+6,30.035,-89.98148,0.73,"{'state': 0.89, 'streets': [1.0]}"
615,TotalTrafficHOU,Accident on exit ramp in #NorthSide on I-45 N Fwy Inbound at The 610 N Lp #traffic http://bit.ly/17hsIjn,2020-08-27 18:55:43+00:00,0,0,,#NorthSide #traffic,[],['i-45'],[],[],1.0,1.0,'i-45',i-45,30.44335,-91.18664,0.73,{'state': 0.89}
577,TotalTrafficAUS,Disabled vehicle. left shoulder blocked in #Travis on I-35 Frontage SB at E 51st St #ATXtraffic http://bit.ly/10BGKax,2020-08-28 00:10:43+00:00,0,0,,#Travis #ATXtraffic,[],['i-35'],[],[],0.0,1.0,'i-35',i-35,30.44335,-91.18664,0.73,{'state': 0.89}
573,TotalTrafficHOU,"Disabled vehicle, center lane blocked in #WestSide on I-10 Inbound after Hwy 6, stop and go traffic back to Park Ten #traffic http://bit.ly/17hsIjn",2020-08-28 11:15:43+00:00,0,0,,#WestSide #traffic,['center lane'],"['i-10', 'hwy 6']",[],[],1.0,1.0,"'center lane','i-10', 'hwy 6'",center+lane%2C+i-10%2C++hwy+6,29.79869,-93.32498000000001,0.72,"{'state': 0.89, 'streets': [0.77], 'houseNumber': 0.1}"
483,TotalTrafficHOU,"Accident cleared in #NorthSide on I-45 N Fwy Inbound at N. Main, stop and go traffic back to Cavalcade #traffic http://bit.ly/17hsIjn",2020-08-28 23:50:44+00:00,0,0,,#NorthSide #traffic,[],['i-45'],[],[],,1.0,'i-45',i-45,30.44335,-91.18664,0.73,{'state': 0.89}
636,TotalTrafficBTR,Accident with injury in #EastBatonRouge on Government St at S Acadian Trwy #traffic http://bit.ly/12oyfoo,2020-08-27 13:25:43+00:00,0,0,,#EastBatonRouge #traffic,['government st'],[],[],[],0.0,1.0,'government st',government+st,30.44425,-91.15086,0.99,"{'state': 0.89, 'streets': [1.0]}"
556,TotalTrafficHOU,"Accident, center lane blocked in #NorthSide on N SAM HOUSTON TOLLWAY EB at Ella Blvd #traffic http://bit.ly/17hsIjn",2020-08-28 14:20:43+00:00,0,0,,#NorthSide #traffic,['center lane'],[],[],[],1.0,1.0,'center lane',center+lane,29.798759999999998,-93.3248,0.99,"{'state': 0.89, 'streets': [0.77]}"
568,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stop and go traffic back to Greenhouse #traffic http://bit.ly/17hsIjn",2020-08-28 11:55:43+00:00,0,0,,#WestSide #traffic,[],"['i-10', 'hwy 6']",[],[],1.0,1.0,"'i-10', 'hwy 6'",i-10%2C++hwy+6,30.035,-89.98148,0.73,"{'state': 0.89, 'streets': [1.0]}"
528,TotalTrafficBTR,Accident cleared in #Iberville on I 10 EB at LA-77/Rosedale/Grosse Tete/Exit 139 #traffic http://bit.ly/12oyfoo,2020-08-28 19:55:43+00:00,0,0,,#Iberville #traffic,[],[],['exit 139'],[],,1.0,'exit 139',exit+139,30.570159999999998,-92.07275,0.99,"{'state': 0.89, 'streets': [0.3], 'houseNumber': 1.0}"
542,TotalTrafficBTR,Accident cleared in #Lafayette on I 10 WB at Louisiana Ave/Exit 104 #traffic http://bit.ly/12oyfoo,2020-08-28 16:20:43+00:00,0,0,,#Lafayette #traffic,['louisiana ave'],[],['exit 104'],[],,1.0,"'louisiana ave','exit 104'",louisiana+ave%2C+exit+104,31.629690000000004,-91.55383,0.85,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
604,TotalTrafficHOU,Accident. right shoulder blocked in #SouthSide on I-610 S Lp WB after Almeda / FM 521 #traffic http://bit.ly/17hsIjn,2020-08-27 20:50:43+00:00,0,0,,#SouthSide #traffic,[],['i-610'],[],[],1.0,1.0,'i-610',i-610,31.37345,-92.39054,0.99,"{'state': 0.89, 'streets': [0.9], 'houseNumber': 1.0}"
507,TotalTrafficBTR,Reopened in #EastBatonRouge on I-110 SB at Plank Rd/N 22nd St/ Memorial Stadium/Exit 2B #traffic http://bit.ly/12oyfoo,2020-08-28 22:00:43+00:00,0,0,,#EastBatonRouge #traffic,['plank rd'],['i-110'],[],[],0.0,1.0,"'plank rd','i-110'",plank+rd%2C+i-110,31.9177,-91.23223,0.95,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
